Accession	Organism	Kingdom	Length	Transmembrane_Helix
Q9USQ1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	960	False
Q03151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367	False
P25298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	677	False
Q21986	Caenorhabditis elegans	Metazoa	958	False
Q08470	Drosophila pseudoobscura pseudoobscura	Metazoa	1166	False
O59669	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	139	False
O14235	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	348	False
Q02793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	397	False
P41002	Homo sapiens	Metazoa	786	False
Q7K3L1	Drosophila melanogaster	Metazoa	921	False
P53810	Mus musculus	Metazoa	271	False
Q8NFU0	Homo sapiens	Metazoa	473	True
P40026	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464	False
P19889	Drosophila melanogaster	Metazoa	317	False
Q13325	Homo sapiens	Metazoa	482	False
D3YXK1	Mus musculus	Metazoa	519	False
Q6P9H5	Homo sapiens	Metazoa	292	False
P83267	Hydrolagus colliei	Metazoa	48	False
Q86U90	Homo sapiens	Metazoa	279	False
Q03370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554	False
E7FKV8	Oryzias latipes	Metazoa	2742	False
O74796	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	264	False
Q921E6	Mus musculus	Metazoa	441	False
P09119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	513	False
Q9M9X4	Arabidopsis thaliana	Plants	295	False
Q8N8Q8	Homo sapiens	Metazoa	333	False
Q96NS1	Homo sapiens	Metazoa	127	False
P16658	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377	False
Q9Y314	Homo sapiens	Metazoa	301	False
P47171	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1648	False
Q8TEW0	Homo sapiens	Metazoa	1356	False
Q92353	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468	False
Q95749	Arabidopsis thaliana	Plants	556	False
Q70EL2	Homo sapiens	Metazoa	814	False
Q9P7A0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	319	False
Q3UL53	Mus musculus	Metazoa	246	False
P62993	Homo sapiens	Metazoa	217	False
P69850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	94	False
P48237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	864	False
E9Q5G7	Mus musculus	Metazoa	496	False
Q9M9Y4	Arabidopsis thaliana	Plants	421	False
Q91YJ3	Mus musculus	Metazoa	226	False
Q8WWL7	Homo sapiens	Metazoa	1395	False
Q7S300	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	138	False
B2C6R6	Arabidopsis thaliana	Plants	681	False
Q9NUL5	Homo sapiens	Metazoa	291	False
Q923S6	Mus musculus	Metazoa	574	False
P13712	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422	False
Q923B3	Mus musculus	Metazoa	828	False
P34257	Caenorhabditis elegans	Metazoa	329	False
Q9NVH0	Homo sapiens	Metazoa	621	True
P33307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960	False
E2RU10	Giardia intestinalis (strain ATCC 50803 / WB clone C6)	Other	238	False
Q96IZ2	Homo sapiens	Metazoa	230	True
Q8LPS2	Arabidopsis thaliana	Plants	670	False
Q61884	Mus musculus	Metazoa	491	False
Q8CH19	Mus musculus	Metazoa	720	False
P50531	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	606	False
P40368	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	713	False
Q99ML9	Mus musculus	Metazoa	989	False
O60671	Homo sapiens	Metazoa	282	False
Q6NUD0	Xenopus laevis	Metazoa	333	False
Q8K2X8	Mus musculus	Metazoa	71	False
Q19404	Caenorhabditis elegans	Metazoa	442	False
Q00873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	224	False
P12904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	322	False
E3SCZ8	Cavia porcellus	Metazoa	142	False
A0A1D9BZF0	Mus musculus	Metazoa	507	False
P08458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	490	False
Q9Y5Q9	Homo sapiens	Metazoa	886	False
P82919	Bos taurus	Metazoa	196	False
P35658	Homo sapiens	Metazoa	2090	False
Q7Z418	Homo sapiens	Metazoa	384	True
P35817	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	686	False
Q7ZT47	Xenopus laevis	Metazoa	196	False
Q80ZI1	Mus musculus	Metazoa	223	False
Q5XF07	Arabidopsis thaliana	Plants	364	False
Q7Z2E3	Homo sapiens	Metazoa	356	False
Q5NCQ5	Mus musculus	Metazoa	438	False
Q9NZ09	Homo sapiens	Metazoa	502	False
O22265	Arabidopsis thaliana	Plants	373	False
Q08966	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	492	False
P53153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274	True
O95989	Homo sapiens	Metazoa	172	False
I1SSI6	Petunia hybrida	Plants	723	False
Q03525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	False
Q6UL01	Mus musculus	Metazoa	79	False
P29372	Homo sapiens	Metazoa	298	False
Q8GXJ1	Arabidopsis thaliana	Plants	552	False
Q03615	Caenorhabditis elegans	Metazoa	305	False
O14929	Homo sapiens	Metazoa	419	False
Q9LMT2	Arabidopsis thaliana	Plants	713	False
Q14203	Homo sapiens	Metazoa	1278	False
Q08580	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376	False
Q04891	Mus musculus	Metazoa	613	False
Q96ER3	Homo sapiens	Metazoa	474	False
Q9CQ29	Mus musculus	Metazoa	239	False
P22354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	195	False
Q6NLC1	Arabidopsis thaliana	Plants	706	True
Q9P0N8	Homo sapiens	Metazoa	246	False
Q9H063	Homo sapiens	Metazoa	256	False
Q8R0S1	Mus musculus	Metazoa	413	False
Q9UTI3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	177	False
Q9HAP6	Homo sapiens	Metazoa	207	False
Q84N48	Zea mays	Plants	611	False
Q04110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302	False
O14210	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	295	False
Q9M9V6	Arabidopsis thaliana	Plants	562	False
P40041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	505	False
Q9LUJ3	Arabidopsis thaliana	Plants	163	False
Q9BSH3	Homo sapiens	Metazoa	213	False
Q9UK33	Homo sapiens	Metazoa	172	False
P22674	Homo sapiens	Metazoa	350	False
P40023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	145	False
Q9NRR8	Homo sapiens	Metazoa	79	False
Q06629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	674	False
Q8IYB3	Homo sapiens	Metazoa	904	False
Q9FJG1	Arabidopsis thaliana	Plants	90	False
D6VTK4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	431	False
Q99207	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	810	False
Q8NI37	Homo sapiens	Metazoa	304	False
Q12400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293	False
Q09142	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	535	False
B2AFA8	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	Fungi	775	False
Q9UJY1	Homo sapiens	Metazoa	196	False
O43818	Homo sapiens	Metazoa	475	False
O13600	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	209	False
O94279	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	172	False
Q9WVM1	Mus musculus	Metazoa	628	False
Q96M94	Homo sapiens	Metazoa	604	False
Q9SF47	Arabidopsis thaliana	Plants	904	False
Q9GYU8	Drosophila melanogaster	Metazoa	702	False
O88382	Rattus norvegicus	Metazoa	1277	False
P43606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	678	False
Q96DI7	Homo sapiens	Metazoa	357	False
Q9H1K0	Homo sapiens	Metazoa	784	False
Q6PDS3	Mus musculus	Metazoa	724	False
Q04031	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	235	False
Q3E798	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	87	True
O23174	Arabidopsis thaliana	Plants	536	False
Q9SHE8	Arabidopsis thaliana	Plants	221	False
A8CVF3	Avicennia marina	Plants	195	False
Q5VWQ8	Homo sapiens	Metazoa	1189	False
P18480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	905	False
P0C0A9	Rattus norvegicus	Metazoa	76	False
Q09293	Caenorhabditis elegans	Metazoa	367	False
P68036	Homo sapiens	Metazoa	154	False
O94522	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390	False
Q94AQ8	Arabidopsis thaliana	Plants	348	False
Q9VV74	Drosophila melanogaster	Metazoa	226	False
O13777	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217	False
Q84ST4	Oryza sativa subsp. japonica	Plants	343	False
Q9SQK3	Arabidopsis thaliana	Plants	315	False
Q9CQH3	Mus musculus	Metazoa	189	True
Q9Y6D6	Homo sapiens	Metazoa	1849	False
P39013	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	349	False
P53203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	462	False
O96006	Homo sapiens	Metazoa	694	False
Q969V5	Homo sapiens	Metazoa	352	True
Q6S5G3	Arabidopsis thaliana	Plants	793	False
Q86VE9	Homo sapiens	Metazoa	423	True
Q8WVQ1	Homo sapiens	Metazoa	401	False
Q5EU90	Euglena gracilis	Other	539	False
P33895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	451	False
P50535	Drosophila melanogaster	Metazoa	1039	False
O74462	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	452	False
Q197W8	Arabidopsis thaliana	Plants	473	False
Q9SJW9	Arabidopsis thaliana	Plants	571	False
Q5HYJ3	Homo sapiens	Metazoa	339	False
B6HLU1	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	3746	False
Q01842	Drosophila melanogaster	Metazoa	732	False
O04479	Arabidopsis thaliana	Plants	199	False
Q9Y4E1	Homo sapiens	Metazoa	1341	False
Q99KP6	Mus musculus	Metazoa	504	False
Q3URD3	Mus musculus	Metazoa	845	False
Q95QD7	Caenorhabditis elegans	Metazoa	435	False
Q04089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	582	False
Q9FG00	Arabidopsis thaliana	Plants	491	True
O60830	Homo sapiens	Metazoa	172	True
Q92733	Homo sapiens	Metazoa	491	False
G5EFY7	Caenorhabditis elegans	Metazoa	295	False
Q9US07	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	662	False
P53170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	491	False
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373	False
Q7SHR9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	316	False
P53239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316	False
Q9Y253	Homo sapiens	Metazoa	713	False
O46411	Bos taurus	Metazoa	560	False
Q19LA2	Colocasia esculenta	Plants	84	False
D0EL35	Arabidopsis thaliana	Plants	1272	False
P97524	Rattus norvegicus	Metazoa	620	True
P0DO12	Arabidopsis thaliana	Plants	126	False
Q99LT0	Mus musculus	Metazoa	99	False
P87315	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1630	False
P32970	Homo sapiens	Metazoa	193	False
P19335	Rattus norvegicus	Metazoa	242	False
P38319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544	False
Q9USU3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	878	False
Q5KS41	Arabidopsis thaliana	Plants	486	False
P97367	Mus musculus	Metazoa	477	False
Q15649	Homo sapiens	Metazoa	155	False
Q7Y1W1	Arabidopsis thaliana	Plants	527	False
P40075	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	244	False
Q969S2	Homo sapiens	Metazoa	332	False
Q12420	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587	False
Q12931	Homo sapiens	Metazoa	704	False
Q23229	Caenorhabditis elegans	Metazoa	417	False
P60602	Homo sapiens	Metazoa	79	True
Q9UUK4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	202	False
Q20733	Caenorhabditis elegans	Metazoa	900	False
Q6NTE8	Homo sapiens	Metazoa	343	False
Q8I2S0	Plasmodium falciparum (isolate 3D7)	Other	384	False
P32914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	102	False
O81787	Arabidopsis thaliana	Plants	527	False
Q56X52	Arabidopsis thaliana	Plants	351	False
Q03373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	323	False
Q4PSK3	Arabidopsis thaliana	Plants	124	False
Q9VMD6	Drosophila melanogaster	Metazoa	659	False
A0A2K8FQU5	Catharanthus roseus	Plants	436	False
Q558Z2	Dictyostelium discoideum	Other	905	False
Q9FNN6	Arabidopsis thaliana	Plants	298	False
Q38895	Arabidopsis thaliana	Plants	204	False
Q5SXA9	Mus musculus	Metazoa	1104	False
Q9Z286	Rattus norvegicus	Metazoa	1608	False
Q8L774	Arabidopsis thaliana	Plants	389	False
P25054	Homo sapiens	Metazoa	2843	False
Q9BW27	Homo sapiens	Metazoa	656	False
P22469	Drosophila melanogaster	Metazoa	90	False
Q8AWF5	Xenopus laevis	Metazoa	638	False
P34111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1160	False
P46681	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	530	False
Q03323	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	175	False
O13898	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	893	True
Q8CF89	Mus musculus	Metazoa	502	False
Q6QJ72	Arabidopsis thaliana	Plants	187	False
Q00312	Candida albicans	Fungi	527	False
P07665	Drosophila melanogaster	Metazoa	356	False
P28324	Homo sapiens	Metazoa	431	False
Q8NBZ0	Homo sapiens	Metazoa	244	False
P53615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221	False
Q6IDA6	Arabidopsis thaliana	Plants	162	False
O43924	Homo sapiens	Metazoa	150	False
Q15287	Homo sapiens	Metazoa	305	False
Q8RWH9	Arabidopsis thaliana	Plants	513	False
Q76KJ5	Mus musculus	Metazoa	399	False
P38182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	117	False
Q20709	Caenorhabditis elegans	Metazoa	543	False
Q01448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625	False
Q9H5I1	Homo sapiens	Metazoa	410	False
Q9P7S9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	194	False
O15164	Homo sapiens	Metazoa	1050	False
Q500V5	Arabidopsis thaliana	Plants	517	False
O88492	Mus musculus	Metazoa	1403	False
Q8NHV9	Homo sapiens	Metazoa	184	False
P48412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	387	False
Q94CE5	Arabidopsis thaliana	Plants	504	False
O08773	Rattus norvegicus	Metazoa	544	False
Q9Z1P2	Rattus norvegicus	Metazoa	892	False
Q9LKW9	Arabidopsis thaliana	Plants	1146	True
P42945	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1769	False
Q9P2D8	Homo sapiens	Metazoa	2635	False
Q96GR2	Homo sapiens	Metazoa	724	False
P20484	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	414	False
P43246	Homo sapiens	Metazoa	934	False
Q8L7C9	Arabidopsis thaliana	Plants	217	False
Q336N8	Oryza sativa subsp. japonica	Plants	858	False
Q9P7P2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	528	False
Q9D8F1	Mus musculus	Metazoa	300	False
P42166	Homo sapiens	Metazoa	694	False
P49773	Homo sapiens	Metazoa	126	False
P93009	Arabidopsis thaliana	Plants	182	False
Q75WF1	Vanrija humicola	Fungi	370	False
Q10360	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	97	False
Q8I266	Plasmodium falciparum (isolate 3D7)	Other	1470	True
E1BUG7	Gallus gallus	Metazoa	690	False
P53081	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	288	False
Q09094	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	180	False
Q94126	Caenorhabditis elegans	Metazoa	211	False
O62683	Canis lupus familiaris	Metazoa	898	False
Q9SRN4	Arabidopsis thaliana	Plants	117	False
P01583	Homo sapiens	Metazoa	271	False
P46972	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177	False
Q7S4E0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	165	False
Q9Y4X0	Homo sapiens	Metazoa	333	False
Q9HD33	Homo sapiens	Metazoa	250	False
P17540	Homo sapiens	Metazoa	419	False
Q05583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	330	False
Q8C6P8	Mus musculus	Metazoa	421	False
Q9W148	Drosophila melanogaster	Metazoa	731	False
Q16385	Homo sapiens	Metazoa	188	False
G5EEW6	Caenorhabditis elegans	Metazoa	427	False
Q587J8	Homo sapiens	Metazoa	217	False
Q8BKT7	Mus musculus	Metazoa	683	False
O55035	Rattus norvegicus	Metazoa	752	False
Q9QY02	Rattus norvegicus	Metazoa	738	False
Q04149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632	False
Q3UHU5	Mus musculus	Metazoa	1945	False
O81775	Arabidopsis thaliana	Plants	158	True
O22773	Arabidopsis thaliana	Plants	216	False
Q9Y3Y2	Homo sapiens	Metazoa	248	False
Q07534	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	307	False
Q9BVI4	Homo sapiens	Metazoa	516	False
Q9VX09	Drosophila melanogaster	Metazoa	607	False
P46310	Arabidopsis thaliana	Plants	446	False
Q96T76	Homo sapiens	Metazoa	1030	False
O81851	Arabidopsis thaliana	Plants	304	False
P36161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1157	False
O42804	Aspergillus niger	Fungi	945	False
P53969	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484	False
P55786	Homo sapiens	Metazoa	919	False
O60674	Homo sapiens	Metazoa	1132	False
Q6PCQ0	Mus musculus	Metazoa	778	False
P40493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	336	False
Q95RA8	Drosophila melanogaster	Metazoa	219	False
Q96HE9	Homo sapiens	Metazoa	360	False
Q9LNE8	Arabidopsis thaliana	Plants	200	False
Q944Q0	Arabidopsis thaliana	Plants	563	False
P28005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	173	False
P46379	Homo sapiens	Metazoa	1132	False
P12198	Nicotiana tabacum	Plants	55	False
E3Q1H1	Trypanosoma brucei brucei	Other	147	False
P00856	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	48	True
P17789	Drosophila melanogaster	Metazoa	643	False
Q6PCM1	Mus musculus	Metazoa	1323	False
Q7TN79	Mus musculus	Metazoa	314	False
P53061	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	704	False
Q9W2H9	Drosophila melanogaster	Metazoa	541	False
Q20646	Caenorhabditis elegans	Metazoa	644	False
Q0WUA3	Arabidopsis thaliana	Plants	382	False
Q0D3I7	Oryza sativa subsp. japonica	Plants	262	False
P51163	Mus musculus	Metazoa	265	False
Q9CA42	Arabidopsis thaliana	Plants	1085	False
Q02204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264	False
O76906	Drosophila melanogaster	Metazoa	982	False
P37207	Porphyridium purpureum	Other	162	False
Q96CU9	Homo sapiens	Metazoa	486	True
F4K2A1	Arabidopsis thaliana	Plants	571	False
Q69ZF8	Mus musculus	Metazoa	577	False
Q9C107	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	815	False
Q18807	Caenorhabditis elegans	Metazoa	339	False
O89050	Mus musculus	Metazoa	735	False
P47141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	266	False
Q15326	Homo sapiens	Metazoa	602	False
Q27368	Drosophila melanogaster	Metazoa	805	False
G5EGK5	Caenorhabditis elegans	Metazoa	928	False
Q64429	Mus musculus	Metazoa	543	False
Q9LTQ0	Arabidopsis thaliana	Plants	391	False
Q9DC70	Mus musculus	Metazoa	224	False
Q12142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	997	False
O74844	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False
Q93YW0	Arabidopsis thaliana	Plants	684	False
Q1RMW2	Bos taurus	Metazoa	414	True
Q15916	Homo sapiens	Metazoa	424	False
B0F481	Arabidopsis thaliana	Plants	833	False
Q6ZIK5	Oryza sativa subsp. japonica	Plants	394	False
O22806	Arabidopsis thaliana	Plants	395	False
Q60EX7	Oryza sativa subsp. japonica	Plants	1128	False
O82357	Arabidopsis thaliana	Plants	347	False
Q9ERS2	Mus musculus	Metazoa	144	True
P49888	Homo sapiens	Metazoa	294	False
P57071	Homo sapiens	Metazoa	1141	False
P46736	Homo sapiens	Metazoa	316	False
Q09808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	152	False
P53899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274	False
Q3UZP0	Mus musculus	Metazoa	555	False
Q98TA5	Xenopus laevis	Metazoa	896	False
A7UL74	Arabidopsis thaliana	Plants	345	False
Q9Y8G3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	False
P54654	Dictyostelium discoideum	Other	464	False
P82673	Homo sapiens	Metazoa	323	False
Q5SFM8	Mus musculus	Metazoa	1060	False
Q9XVD5	Caenorhabditis elegans	Metazoa	303	False
F4INA9	Arabidopsis thaliana	Plants	973	False
