Accession	Organism	Kingdom	Length	Transmembrane_Helix
O74478	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	587	False
P10914	Homo sapiens	Metazoa	325	False
Q56XY2	Arabidopsis thaliana	Plants	298	False
P92204	Drosophila melanogaster	Metazoa	280	False
Q9NP94	Homo sapiens	Metazoa	309	True
Q68CP9	Homo sapiens	Metazoa	1835	False
P10627	Drosophila melanogaster	Metazoa	490	False
Q42564	Arabidopsis thaliana	Plants	287	False
Q9NVU7	Homo sapiens	Metazoa	687	False
Q9TW65	Caenorhabditis elegans	Metazoa	3674	False
P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	661	True
Q01295	Drosophila melanogaster	Metazoa	727	False
A9JRD8	Danio rerio	Metazoa	540	False
Q99321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188	False
Q9GSF8	Euplotes aediculatus	Other	437	False
Q15642	Homo sapiens	Metazoa	601	False
P38634	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	284	False
Q9WTK2	Mus musculus	Metazoa	593	False
P25441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	422	False
P53139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140	False
Q02749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293	False
Q80WT4	Mus musculus	Metazoa	515	False
Q84JG2	Arabidopsis thaliana	Plants	469	False
Q08818	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	692	False
P47929	Homo sapiens	Metazoa	136	False
Q8IWZ4	Homo sapiens	Metazoa	224	False
Q99NI4	Rattus norvegicus	Metazoa	396	False
Q10308	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	269	False
Q9VHB0	Drosophila melanogaster	Metazoa	874	False
P40106	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250	False
Q5VW36	Homo sapiens	Metazoa	1801	False
Q02099	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2386	False
Q3ZBF9	Bos taurus	Metazoa	296	False
Q9Y2M0	Homo sapiens	Metazoa	1017	False
P70444	Mus musculus	Metazoa	195	False
Q9CR14	Mus musculus	Metazoa	375	False
P62847	Homo sapiens	Metazoa	133	False
Q9JLI8	Mus musculus	Metazoa	962	False
P25618	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	953	True
P00918	Homo sapiens	Metazoa	260	False
Q02040	Homo sapiens	Metazoa	695	False
Q9Y4P9	Homo sapiens	Metazoa	236	False
O17286	Caenorhabditis elegans	Metazoa	403	False
Q9HAW0	Homo sapiens	Metazoa	419	False
Q06324	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	491	False
Q9UHX1	Homo sapiens	Metazoa	559	False
P40161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455	False
Q9Y3A4	Homo sapiens	Metazoa	280	False
Q15847	Homo sapiens	Metazoa	76	False
Q9H7L9	Homo sapiens	Metazoa	328	False
P21145	Homo sapiens	Metazoa	153	True
P60879	Mus musculus	Metazoa	206	False
Q9H832	Homo sapiens	Metazoa	354	False
Q5AMH6	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	821	False
Q96SW2	Homo sapiens	Metazoa	442	False
Q8NHG8	Homo sapiens	Metazoa	242	False
Q9LE82	Arabidopsis thaliana	Plants	535	False
B0XTT5	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	247	False
P40364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	252	False
P46970	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1048	False
O00483	Homo sapiens	Metazoa	81	True
Q9UUI6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False
Q8TDB4	Homo sapiens	Metazoa	240	False
F4J284	Arabidopsis thaliana	Plants	860	False
Q9NPG8	Homo sapiens	Metazoa	344	True
Q15464	Homo sapiens	Metazoa	509	False
Q9S7D1	Arabidopsis thaliana	Plants	808	False
Q90ZA1	Xenopus laevis	Metazoa	631	False
P54074	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	624	True
Q03214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411	False
Q07532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353	False
P40481	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	377	False
Q10274	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	390	False
Q24174	Drosophila melanogaster	Metazoa	904	False
P34164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415	False
P26358	Homo sapiens	Metazoa	1616	False
Q8VYB9	Arabidopsis thaliana	Plants	840	False
P23230	Chlamydomonas reinhardtii	Plants	160	True
Q86WV5	Homo sapiens	Metazoa	123	False
Q8L7E9	Arabidopsis thaliana	Plants	421	False
Q04749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	426	False
Q9FVR6	Arabidopsis thaliana	Plants	296	False
Q8N9N2	Homo sapiens	Metazoa	400	False
Q8R2K4	Mus musculus	Metazoa	616	False
Q53GS7	Homo sapiens	Metazoa	698	False
Q96EB1	Homo sapiens	Metazoa	424	False
P48240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250	False
P23724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	241	False
Q93654	Caenorhabditis elegans	Metazoa	245	False
Q1K528	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	82	True
P07663	Drosophila melanogaster	Metazoa	1224	False
Q9HGK2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	216	False
Q6DFW0	Mus musculus	Metazoa	481	False
Q8BGY9	Mus musculus	Metazoa	580	True
Q60866	Mus musculus	Metazoa	349	False
P15325	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	533	False
O44827	Caenorhabditis elegans	Metazoa	510	False
P40968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455	False
Q04623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	453	False
Q6J9Q2	Arabidopsis thaliana	Plants	348	False
Q8IS16	Dictyostelium discoideum	Other	604	False
Q5JPH6	Homo sapiens	Metazoa	523	False
Q9H0U9	Homo sapiens	Metazoa	437	False
Q9FLU1	Arabidopsis thaliana	Plants	454	False
Q6ZWS8	Mus musculus	Metazoa	374	False
B0L3A2	Homo sapiens	Metazoa	85	True
Q08492	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False
Q9Y388	Homo sapiens	Metazoa	322	False
P39001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	836	False
Q8BMD2	Mus musculus	Metazoa	852	False
P01100	Homo sapiens	Metazoa	380	False
Q7KRI2	Drosophila melanogaster	Metazoa	127	False
P40923	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201	False
O55028	Mus musculus	Metazoa	412	False
Q8L7Z0	Arabidopsis thaliana	Plants	720	False
O74563	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	680	False
O74783	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	False
Q8CJF7	Mus musculus	Metazoa	2243	False
Q10200	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False
Q53F19	Homo sapiens	Metazoa	620	False
O74986	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	294	False
Q00381	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	147	False
Q9XI84	Arabidopsis thaliana	Plants	482	False
Q9HGN4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	151	False
P14064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554	False
P13280	Oryctolagus cuniculus	Metazoa	333	False
Q944H2	Arabidopsis thaliana	Plants	391	False
Q96N96	Homo sapiens	Metazoa	652	False
P40565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	148	False
Q9ESE1	Mus musculus	Metazoa	2856	False
Q9LR64	Arabidopsis thaliana	Plants	174	False
Q17RH7	Homo sapiens	Metazoa	139	False
Q16775	Homo sapiens	Metazoa	308	False
Q8W4D0	Arabidopsis thaliana	Plants	631	False
Q8WW12	Homo sapiens	Metazoa	178	False
Q01163	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	450	False
Q12486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	218	False
Q8IXI2	Homo sapiens	Metazoa	618	False
A0A0S2UWC9	Petunia hybrida	Plants	249	False
P32626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227	False
Q6NVU6	Homo sapiens	Metazoa	218	False
P70331	Mus musculus	Metazoa	251	False
Q86VZ6	Homo sapiens	Metazoa	243	False
O94874	Homo sapiens	Metazoa	794	False
A2AUU0	Mus musculus	Metazoa	281	False
P28007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205	False
A0A075TRB3	Penicillium expansum	Fungi	259	False
O95990	Homo sapiens	Metazoa	144	False
Q03774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	False
P53187	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214	False
P38771	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	230	False
Q4VC44	Homo sapiens	Metazoa	716	False
Q10290	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303	False
Q6ZWQ0	Mus musculus	Metazoa	6874	False
Q9XIB5	Arabidopsis thaliana	Plants	226	False
Q06215	Vicia faba	Plants	606	False
Q8R1N0	Mus musculus	Metazoa	363	False
Q336R3	Oryza sativa subsp. japonica	Plants	844	False
Q06639	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	885	False
P10795	Arabidopsis thaliana	Plants	180	False
Q9NUL7	Homo sapiens	Metazoa	540	False
P42114	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	124	False
D3KY98	Carapichea ipecacuanha	Plants	350	False
Q9H902	Homo sapiens	Metazoa	201	True
Q69ZR9	Mus musculus	Metazoa	1610	False
O95630	Homo sapiens	Metazoa	424	False
Q9SQU2	Arabidopsis thaliana	Plants	199	True
Q1MTN3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1018	False
Q2HXU8	Homo sapiens	Metazoa	276	False
Q9R226	Mus musculus	Metazoa	346	False
Q96I23	Homo sapiens	Metazoa	114	False
Q94234	Caenorhabditis elegans	Metazoa	204	False
Q7Z695	Homo sapiens	Metazoa	626	False
A2AMM0	Mus musculus	Metazoa	362	False
P06180	Xenopus laevis	Metazoa	590	False
P0C7P0	Homo sapiens	Metazoa	127	False
Q70EL3	Homo sapiens	Metazoa	339	False
Q2MHN3	Mus musculus	Metazoa	2562	False
P32874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2273	False
Q04545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1251	False
O14013	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	556	False
G5EG51	Caenorhabditis elegans	Metazoa	1270	False
Q8C5Y2	Mus musculus	Metazoa	53	True
Q9C002	Homo sapiens	Metazoa	83	False
P32349	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	654	False
Q60949	Mus musculus	Metazoa	1255	False
P15436	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1097	False
Q9QZ59	Mus musculus	Metazoa	374	False
O74991	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	577	False
Q9ULX3	Homo sapiens	Metazoa	412	False
P35194	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2493	False
Q12381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	906	False
Q9LUA3	Arabidopsis thaliana	Plants	122	False
Q6NZY4	Homo sapiens	Metazoa	707	False
P34078	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463	False
Q9SNB7	Arabidopsis thaliana	Plants	665	False
Q8L6Z4	Arabidopsis thaliana	Plants	430	False
Q10LI1	Oryza sativa subsp. japonica	Plants	260	False
Q9SW33	Arabidopsis thaliana	Plants	225	False
Q99L02	Mus musculus	Metazoa	253	False
P84817	Rattus norvegicus	Metazoa	152	False
Q0JHU5	Oryza sativa subsp. japonica	Plants	159	False
Q8AYS7	Gallus gallus	Metazoa	753	False
F4HRV8	Arabidopsis thaliana	Plants	596	False
Q9P2D0	Homo sapiens	Metazoa	1353	False
Q8H1E5	Arabidopsis thaliana	Plants	783	False
Q6I9Y2	Homo sapiens	Metazoa	204	False
P47822	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140	False
Q19555	Caenorhabditis elegans	Metazoa	1096	False
Q969H6	Homo sapiens	Metazoa	163	False
Q9Y5X3	Homo sapiens	Metazoa	404	False
C6KST8	Plasmodium falciparum (isolate 3D7)	Other	358	True
Q8NDD1	Homo sapiens	Metazoa	293	False
Q03200	Oryza sativa subsp. japonica	Plants	128	False
Q95TS5	Drosophila melanogaster	Metazoa	654	False
A0A486WWJ9	Caenorhabditis elegans	Metazoa	582	False
Q06109	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	277	False
P19954	Spinacia oleracea	Plants	302	False
Q9W6V6	Gallus gallus	Metazoa	2705	False
Q3UHH1	Mus musculus	Metazoa	1832	False
Q04005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	False
A0A5F8MPU3	Mus musculus	Metazoa	2282	False
O74485	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	581	False
Q9NQS5	Homo sapiens	Metazoa	396	False
O22160	Arabidopsis thaliana	Plants	224	False
O74518	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	336	False
Q8C4V4	Mus musculus	Metazoa	428	False
Q9V3Y0	Drosophila melanogaster	Metazoa	215	False
Q2Z1W2	Gallus gallus	Metazoa	345	False
Q02759	Rattus norvegicus	Metazoa	663	False
Q96JX3	Homo sapiens	Metazoa	654	True
Q9Y244	Homo sapiens	Metazoa	141	False
A0A2P1GIW3	Catharanthus roseus	Plants	320	False
Q5VZI3	Homo sapiens	Metazoa	342	False
Q9I7K0	Drosophila melanogaster	Metazoa	208	False
Q68CK6	Homo sapiens	Metazoa	577	False
Q2VUH8	Komagataella pastoris	Fungi	323	False
O60779	Homo sapiens	Metazoa	497	True
F4IHS2	Arabidopsis thaliana	Plants	3574	False
Q00013	Homo sapiens	Metazoa	466	False
P38804	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111	False
Q9NWS8	Homo sapiens	Metazoa	449	False
Q07913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	336	False
P36037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	715	False
P08011	Rattus norvegicus	Metazoa	155	True
Q9STX3	Arabidopsis thaliana	Plants	151	False
Q9W420	Drosophila melanogaster	Metazoa	1831	False
Q9WVC7	Rattus norvegicus	Metazoa	2314	False
Q96DB2	Homo sapiens	Metazoa	347	False
P49789	Homo sapiens	Metazoa	147	False
A0A1S4FPC9	Aedes aegypti	Metazoa	3364	False
P04039	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	78	True
O94782	Homo sapiens	Metazoa	785	False
Q9Y3E7	Homo sapiens	Metazoa	222	False
Q94521	Drosophila melanogaster	Metazoa	275	False
Q9H6U6	Homo sapiens	Metazoa	928	False
Q08774	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	242	False
Q8IV76	Homo sapiens	Metazoa	773	False
P24226	Brassica oleracea var. capitata	Plants	469	False
Q02486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	183	False
G5EFY4	Caenorhabditis elegans	Metazoa	286	False
Q0E7J7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	325	False
Q9Y6D0	Homo sapiens	Metazoa	94	True
O74791	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	470	False
Q94515	Drosophila melanogaster	Metazoa	321	True
P41073	Drosophila melanogaster	Metazoa	716	False
P47167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	False
Q1ACB3	Arabidopsis thaliana	Plants	386	False
Q09725	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1587	False
Q9NSA0	Homo sapiens	Metazoa	550	True
Q5XG73	Mus musculus	Metazoa	508	False
Q03153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612	False
Q80T11	Mus musculus	Metazoa	461	False
Q12386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881	False
Q7XA78	Arabidopsis thaliana	Plants	264	False
Q6P4Q7	Homo sapiens	Metazoa	775	False
A7UWX2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	470	False
P34225	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	687	False
P25379	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	360	False
Q12996	Homo sapiens	Metazoa	717	False
Q7SBR3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	86	False
Q53GL0	Homo sapiens	Metazoa	409	False
O14368	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	143	False
P36606	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	468	True
Q96QU8	Homo sapiens	Metazoa	1125	False
Q80VM7	Mus musculus	Metazoa	985	False
Q9Y6G1	Homo sapiens	Metazoa	99	True
O43052	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1150	False
Q6ATB4	Oryza sativa subsp. japonica	Plants	583	False
O13702	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	450	False
Q9NQ33	Homo sapiens	Metazoa	181	False
Q13277	Homo sapiens	Metazoa	289	False
Q55FB8	Dictyostelium discoideum	Other	1272	False
Q7TQP3	Mus musculus	Metazoa	335	False
U4PAZ9	Caenorhabditis elegans	Metazoa	1112	False
P32570	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	121	False
Q9EQR5	Mus musculus	Metazoa	269	False
P78955	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	287	False
P46778	Homo sapiens	Metazoa	160	False
Q9DB96	Mus musculus	Metazoa	315	False
O70302	Mus musculus	Metazoa	217	False
P39961	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	794	False
Q06244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254	False
Q06632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1357	False
Q9SPI9	Chlamydomonas reinhardtii	Plants	115	True
O13601	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	494	False
Q9SGY2	Arabidopsis thaliana	Plants	423	False
Q8WUX9	Homo sapiens	Metazoa	453	False
O95905	Homo sapiens	Metazoa	644	False
O74386	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	248	False
Q8LGD5	Arabidopsis thaliana	Plants	222	False
Q9NX58	Homo sapiens	Metazoa	379	False
P63007	Rattus norvegicus	Metazoa	406	False
Q80TN7	Mus musculus	Metazoa	2359	False
Q8H0V4	Arabidopsis thaliana	Plants	722	False
Q6Q4H1	Hydra vulgaris	Metazoa	385	False
Q9FJW6	Arabidopsis thaliana	Plants	798	False
Q5H9F3	Homo sapiens	Metazoa	1785	False
Q9VE04	Drosophila melanogaster	Metazoa	107	False
O95466	Homo sapiens	Metazoa	1100	False
Q14676	Homo sapiens	Metazoa	2089	False
Q14722	Homo sapiens	Metazoa	419	False
H2KZB2	Caenorhabditis elegans	Metazoa	603	False
P17505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334	False
P70698	Mus musculus	Metazoa	591	False
P29539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1916	False
O13853	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	742	False
L0R8F8	Homo sapiens	Metazoa	70	False
Q68DD2	Homo sapiens	Metazoa	849	False
Q8VZS0	Arabidopsis thaliana	Plants	321	False
P25364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	564	False
Q9USR4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	125	False
Q5T890	Homo sapiens	Metazoa	1550	False
P15796	Caenorhabditis elegans	Metazoa	191	False
P08580	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	107	False
P46998	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	180	True
G5EDT1	Caenorhabditis elegans	Metazoa	961	False
P07272	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	904	False
Q13342	Homo sapiens	Metazoa	867	False
Q86Y01	Homo sapiens	Metazoa	620	False
Q32P44	Homo sapiens	Metazoa	896	False
P32776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	642	False
Q9N1F5	Sus scrofa	Metazoa	241	False
Q08050	Homo sapiens	Metazoa	763	False
Q6P1J9	Homo sapiens	Metazoa	531	False
Q9SAA2	Arabidopsis thaliana	Plants	271	False
Q6ZT62	Homo sapiens	Metazoa	677	False
Q9C882	Arabidopsis thaliana	Plants	587	False
Q969P6	Homo sapiens	Metazoa	601	False
Q9NQW8	Homo sapiens	Metazoa	809	False
Q8VE70	Mus musculus	Metazoa	212	False
A6NFQ2	Homo sapiens	Metazoa	919	False
P38291	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	140	False
Q9NX46	Homo sapiens	Metazoa	363	False
Q12107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	265	False
P81183	Mus musculus	Metazoa	526	False
Q9BWW7	Homo sapiens	Metazoa	348	False
P09081	Drosophila melanogaster	Metazoa	494	False
O74560	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	636	False
Q9USG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1188	False
Q9NWU5	Homo sapiens	Metazoa	206	False
Q9UMS0	Homo sapiens	Metazoa	254	False
P82352	Oryctolagus cuniculus	Metazoa	238	True
Q08887	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554	False
P30155	Nicotiana tabacum	Plants	179	False
Q92785	Homo sapiens	Metazoa	391	False
Q9HCC9	Homo sapiens	Metazoa	887	False
Q99LG4	Mus musculus	Metazoa	440	False
Q14249	Homo sapiens	Metazoa	297	False
P18859	Homo sapiens	Metazoa	108	False
P48268	Chlamydomonas reinhardtii	Plants	82	True
P34233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	588	False
Q6PCD5	Homo sapiens	Metazoa	774	False
P11101	Rattus norvegicus	Metazoa	114	False
Q9UNS2	Homo sapiens	Metazoa	423	False
Q9HGN5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	279	False
Q9BXL5	Homo sapiens	Metazoa	484	False
O94459	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	559	False
Q0JJ05	Oryza sativa subsp. japonica	Plants	987	False
O75161	Homo sapiens	Metazoa	1426	False
W8JWV8	Catharanthus roseus	Plants	378	False
Q5TGY3	Homo sapiens	Metazoa	1603	False
P31942	Homo sapiens	Metazoa	346	False
Q9UUH6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	188	False
P36114	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	725	False
Q9SL05	Arabidopsis thaliana	Plants	133	False
O14503	Homo sapiens	Metazoa	412	False
