Accession	Organism	Kingdom	Length	Transmembrane_Helix
O13600	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	209	False
Q9V6Q2	Drosophila melanogaster	Metazoa	225	False
Q9ZNT1	Arabidopsis thaliana	Plants	281	True
Q5EAJ7	Strongylocentrotus purpuratus	Metazoa	857	False
Q9Y2U8	Homo sapiens	Metazoa	911	False
Q9FLT9	Arabidopsis thaliana	Plants	259	True
Q9VB62	Drosophila melanogaster	Metazoa	609	False
Q6Y5D8	Mus musculus	Metazoa	786	False
Q8CFC7	Mus musculus	Metazoa	668	False
P33897	Homo sapiens	Metazoa	745	False
P57081	Homo sapiens	Metazoa	412	False
Q8C8N2	Mus musculus	Metazoa	606	False
Q5T8A7	Homo sapiens	Metazoa	1209	False
O42978	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	80	False
Q32MQ0	Homo sapiens	Metazoa	723	False
Q24434	Drosophila melanogaster	Metazoa	479	False
O75127	Homo sapiens	Metazoa	700	False
Q7Z3K3	Homo sapiens	Metazoa	1410	False
Q12180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1030	False
Q53AQ4	Rattus norvegicus	Metazoa	245	True
Q9VJL6	Drosophila melanogaster	Metazoa	138	False
P22561	Mus musculus	Metazoa	449	False
Q6DFW0	Mus musculus	Metazoa	481	False
Q9P7V3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220	False
Q9H4Z3	Homo sapiens	Metazoa	704	False
Q08580	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	376	False
Q96DY5	Mus musculus	Metazoa	654	False
Q9M280	Arabidopsis thaliana	Plants	116	False
P38326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	303	False
Q8NEZ2	Homo sapiens	Metazoa	397	False
Q86WB0	Homo sapiens	Metazoa	502	False
P41073	Drosophila melanogaster	Metazoa	716	False
Q45VK7	Mus musculus	Metazoa	4306	False
Q6PCQ0	Mus musculus	Metazoa	778	False
Q96ST8	Homo sapiens	Metazoa	783	False
Q8L8M9	Arabidopsis thaliana	Plants	442	False
P15382	Homo sapiens	Metazoa	129	True
Q5GH77	Homo sapiens	Metazoa	459	True
Q8TF40	Homo sapiens	Metazoa	1166	False
Q9SL05	Arabidopsis thaliana	Plants	133	False
Q62100	Mus musculus	Metazoa	101	False
Q9Y239	Homo sapiens	Metazoa	953	False
Q9CWR7	Mus musculus	Metazoa	339	True
P07257	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	368	False
Q91VX9	Mus musculus	Metazoa	697	True
P10914	Homo sapiens	Metazoa	325	False
Q9BXV9	Homo sapiens	Metazoa	100	False
P82180	Spinacia oleracea	Plants	196	False
P46946	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	345	False
Q7JM44	Caenorhabditis elegans	Metazoa	2242	False
P38198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1513	False
Q9H832	Homo sapiens	Metazoa	354	False
O70337	Mus musculus	Metazoa	150	False
Q96P11	Homo sapiens	Metazoa	429	False
Q24400	Drosophila melanogaster	Metazoa	495	False
Q9LN09	Arabidopsis thaliana	Plants	206	False
P92204	Drosophila melanogaster	Metazoa	280	False
Q03430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	361	False
Q12753	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	694	False
Q9Y3S2	Homo sapiens	Metazoa	320	False
A0A2H1A5W4	Candidozyma auris	Fungi	679	False
P17442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1178	False
Q9HCU8	Homo sapiens	Metazoa	107	False
Q02455	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1875	False
O74846	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	752	False
P0C512	Oryza sativa subsp. japonica	Plants	477	False
Q12748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733	False
C4R3D4	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	461	False
Q60465	Cricetulus longicaudatus	Metazoa	590	False
Q05021	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	590	False
Q61234	Mus musculus	Metazoa	503	False
G1XJN1	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491)	Fungi	401	True
P14866	Homo sapiens	Metazoa	589	False
Q9SMX3	Arabidopsis thaliana	Plants	274	False
P00927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	False
Q9H078	Homo sapiens	Metazoa	707	False
Q9Y228	Homo sapiens	Metazoa	551	False
Q60676	Mus musculus	Metazoa	499	False
Q8SX83	Drosophila melanogaster	Metazoa	5560	False
Q9FN48	Arabidopsis thaliana	Plants	387	False
Q9QYE3	Mus musculus	Metazoa	835	False
P05626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	244	False
Q86YA3	Homo sapiens	Metazoa	2104	False
P40381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328	False
Q9XII1	Arabidopsis thaliana	Plants	307	False
Q96CB8	Homo sapiens	Metazoa	462	False
P19541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	446	False
P39103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	70	True
P36632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614	False
P15919	Mus musculus	Metazoa	1040	False
F4IUY8	Arabidopsis thaliana	Plants	1006	False
O74434	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	626	False
Q9UIG8	Homo sapiens	Metazoa	710	False
Q3UIU2	Mus musculus	Metazoa	128	True
Q00912	Wickerhamomyces anomalus	Fungi	342	False
P53256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	223	False
O77408	Lymnaea stagnalis	Metazoa	638	False
Q86PD7	Drosophila melanogaster	Metazoa	354	False
P53246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	860	False
Q03615	Caenorhabditis elegans	Metazoa	305	False
Q91XT6	Mus musculus	Metazoa	489	False
Q8BJ63	Mus musculus	Metazoa	490	False
O94740	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False
P30793	Homo sapiens	Metazoa	250	False
Q15843	Homo sapiens	Metazoa	81	False
P62913	Homo sapiens	Metazoa	178	False
P36160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	344	False
Q8N5A5	Homo sapiens	Metazoa	531	False
Q8N2Y8	Homo sapiens	Metazoa	1516	False
O74964	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	803	False
Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205	False
P40457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1679	False
Q8JFQ4	Gallus gallus	Metazoa	277	False
P38297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	855	False
P42945	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1769	False
Q9BPW8	Homo sapiens	Metazoa	284	False
P38909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366	False
Q7L0Y3	Homo sapiens	Metazoa	403	False
P46983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293	False
Q501D5	Arabidopsis thaliana	Plants	589	False
Q12354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227	False
Q8MMZ7	Toxoplasma gondii	Other	994	False
P38889	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	622	False
Q96P65	Homo sapiens	Metazoa	431	False
Q9FPR3	Arabidopsis thaliana	Plants	933	False
Q05CL8	Mus musculus	Metazoa	570	False
P57088	Homo sapiens	Metazoa	247	True
Q9BPZ7	Homo sapiens	Metazoa	522	False
Q8NDZ0	Homo sapiens	Metazoa	799	False
Q6PJT7	Homo sapiens	Metazoa	736	False
Q8BQR4	Mus musculus	Metazoa	486	False
Q9SV15	Arabidopsis thaliana	Plants	325	False
Q9UJX4	Homo sapiens	Metazoa	755	False
P31115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442	False
Q9Z1B8	Mus musculus	Metazoa	559	False
Q13492	Homo sapiens	Metazoa	652	False
P43122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	407	False
P10862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	487	False
Q6P1J9	Homo sapiens	Metazoa	531	False
Q8VY52	Arabidopsis thaliana	Plants	232	False
P49888	Homo sapiens	Metazoa	294	False
Q5EU90	Euglena gracilis	Other	539	False
Q7Z2G1	Homo sapiens	Metazoa	153	False
Q9M9X4	Arabidopsis thaliana	Plants	295	False
Q9FNZ4	Arabidopsis thaliana	Plants	112	False
O23166	Arabidopsis thaliana	Plants	261	False
Q9SR62	Arabidopsis thaliana	Plants	309	False
Q6NPM8	Arabidopsis thaliana	Plants	346	False
O75528	Homo sapiens	Metazoa	432	False
Q9LNE8	Arabidopsis thaliana	Plants	200	False
P07246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375	False
P53810	Mus musculus	Metazoa	271	False
P28005	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	173	False
Q9VUF8	Drosophila melanogaster	Metazoa	540	False
P18859	Homo sapiens	Metazoa	108	False
Q9D855	Mus musculus	Metazoa	111	False
Q8LDU1	Arabidopsis thaliana	Plants	321	False
P61793	Mus musculus	Metazoa	364	False
P53220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	True
P40023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	145	False
G5DBJ0	Nicotiana benthamiana	Plants	252	False
Q07510	Spinacia oleracea	Plants	405	False
Q8RWS0	Arabidopsis thaliana	Plants	124	False
O74489	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	329	False
Q9Y5A7	Homo sapiens	Metazoa	615	False
Q17569	Caenorhabditis elegans	Metazoa	389	False
O14350	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	181	False
P80304	Sepia officinalis	Metazoa	51	False
P84090	Homo sapiens	Metazoa	104	False
P52306	Homo sapiens	Metazoa	607	False
Q8H157	Arabidopsis thaliana	Plants	585	True
Q6IR34	Mus musculus	Metazoa	673	False
Q03214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411	False
P40554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	99	False
Q8K3W2	Mus musculus	Metazoa	274	False
Q7Z418	Homo sapiens	Metazoa	384	True
P21549	Homo sapiens	Metazoa	392	False
Q9UL40	Homo sapiens	Metazoa	294	False
P43594	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	170	False
P34784	Aglaothamnion neglectum	Other	317	False
Q6PB70	Mus musculus	Metazoa	1060	False
P03888	Mus musculus	Metazoa	318	True
Q9SJ50	Arabidopsis thaliana	Plants	333	False
Q9SJZ6	Arabidopsis thaliana	Plants	219	False
Q05048	Homo sapiens	Metazoa	431	False
A0A8I3PDQ1	Canis lupus familiaris	Metazoa	834	False
O20029	Chlamydomonas reinhardtii	Plants	191	False
O94446	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	463	False
P36177	Euglena gracilis	Other	538	False
Q94AQ9	Arabidopsis thaliana	Plants	260	False
Q9HDW8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	146	False
P18263	Chlamydomonas reinhardtii	Plants	46	True
P29539	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1916	False
Q24119	Drosophila melanogaster	Metazoa	1022	False
Q6IR42	Mus musculus	Metazoa	630	False
F4IDJ0	Arabidopsis thaliana	Plants	830	False
Q3T0J3	Bos taurus	Metazoa	251	False
O74361	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	356	False
Q06315	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1026	False
Q9M9V7	Arabidopsis thaliana	Plants	587	True
Q09668	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	False
Q9S7R7	Arabidopsis thaliana	Plants	460	False
Q96P16	Homo sapiens	Metazoa	312	False
Q9N4M4	Caenorhabditis elegans	Metazoa	8545	False
Q9UIA9	Homo sapiens	Metazoa	1087	False
A0A1S4FPC9	Aedes aegypti	Metazoa	3364	False
Q9BV86	Homo sapiens	Metazoa	223	False
Q08622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	556	False
P38137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543	False
P0C7T6	Mus musculus	Metazoa	687	False
F4KFB3	Arabidopsis thaliana	Plants	598	False
P82412	Spinacia oleracea	Plants	179	False
Q04305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	513	False
Q8WY91	Homo sapiens	Metazoa	577	False
P21245	Candida boidinii	Fungi	423	False
P40154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	320	False
P53140	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	646	False
Q9NQS5	Homo sapiens	Metazoa	396	False
P53720	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	384	False
Q9DBL9	Mus musculus	Metazoa	351	False
P40486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507	False
Q6P4A7	Homo sapiens	Metazoa	337	False
Q9NQC3	Homo sapiens	Metazoa	1192	False
P17629	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	752	False
Q550D5	Dictyostelium discoideum	Other	872	False
Q9XUB3	Caenorhabditis elegans	Metazoa	781	False
Q9SRX9	Arabidopsis thaliana	Plants	335	False
Q9FGT8	Arabidopsis thaliana	Plants	186	False
Q9Y448	Homo sapiens	Metazoa	316	False
Q9P0S2	Homo sapiens	Metazoa	106	True
Q8BHN1	Mus musculus	Metazoa	524	False
Q9AT00	Arabidopsis thaliana	Plants	345	False
P21951	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2222	False
Q9UPI3	Homo sapiens	Metazoa	526	False
P87052	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	344	False
Q7ZT48	Xenopus laevis	Metazoa	221	False
Q61827	Mus musculus	Metazoa	156	False
P52172	Drosophila melanogaster	Metazoa	1264	False
Q9SNC0	Arabidopsis thaliana	Plants	182	False
Q801E2	Xenopus laevis	Metazoa	1116	False
Q9CR24	Mus musculus	Metazoa	210	False
P40043	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	161	False
Q9BY41	Homo sapiens	Metazoa	377	False
A0A3B3IS91	Homo sapiens	Metazoa	260	False
Q99359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647	False
Q6ZRQ5	Homo sapiens	Metazoa	1243	False
P39769	Drosophila melanogaster	Metazoa	1589	False
P53838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	True
Q9VDE4	Drosophila melanogaster	Metazoa	286	False
Q9EQ80	Mus musculus	Metazoa	376	False
P22134	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296	False
P30038	Homo sapiens	Metazoa	563	False
Q9YHY6	Xenopus laevis	Metazoa	1364	False
Q9UUH3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	277	False
Q9Y7N1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240	False
Q9M0A5	Arabidopsis thaliana	Plants	249	False
Q9XIN0	Arabidopsis thaliana	Plants	650	False
O59734	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	78	False
P53167	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	370	False
O82645	Arabidopsis thaliana	Plants	488	False
P06813	Oryctolagus cuniculus	Metazoa	266	False
Q04964	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	104	False
Q7XJJ7	Arabidopsis thaliana	Plants	607	False
P17256	Rattus norvegicus	Metazoa	395	False
G5EGE9	Caenorhabditis elegans	Metazoa	1263	False
A4GSN8	Arabidopsis thaliana	Plants	2093	False
P81269	Mus musculus	Metazoa	269	False
Q96Q11	Homo sapiens	Metazoa	434	False
Q8QFX1	Gallus gallus	Metazoa	1325	False
P54256	Rattus norvegicus	Metazoa	629	False
P06367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137	False
Q8R000	Mus musculus	Metazoa	340	True
Q19614	Caenorhabditis elegans	Metazoa	433	False
Q9UU91	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	182	True
P33411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	251	False
P33893	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	541	False
P53136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	463	False
P49754	Homo sapiens	Metazoa	854	False
Q76LB1	Triticum aestivum	Plants	459	True
Q9FZD1	Arabidopsis thaliana	Plants	630	False
Q53KK6	Oryza sativa subsp. japonica	Plants	784	False
Q3UB74	Mus musculus	Metazoa	406	False
P35195	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	104	False
Q4VC33	Mus musculus	Metazoa	396	False
Q8BTQ0	Mus musculus	Metazoa	241	False
Q6MG82	Rattus norvegicus	Metazoa	306	False
Q4FX73	Leishmania major	Other	264	False
P28321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	313	False
Q18237	Caenorhabditis elegans	Metazoa	1076	False
Q9U1H9	Drosophila melanogaster	Metazoa	672	False
Q9Y3C5	Homo sapiens	Metazoa	154	False
Q6PD74	Homo sapiens	Metazoa	315	False
P31334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	269	False
Q9Y244	Homo sapiens	Metazoa	141	False
O82504	Arabidopsis thaliana	Plants	1133	False
Q09XV5	Mus musculus	Metazoa	2582	False
Q64318	Mus musculus	Metazoa	1117	False
G5EG44	Caenorhabditis elegans	Metazoa	281	False
P87152	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	992	False
Q5A4H5	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	731	False
P56560	Bos taurus	Metazoa	520	False
Q9BUH6	Homo sapiens	Metazoa	204	False
P46783	Homo sapiens	Metazoa	165	False
P38632	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	267	False
Q9NZM1	Homo sapiens	Metazoa	2061	False
Q96E14	Homo sapiens	Metazoa	147	False
P39965	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576	False
Q9UTM0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249	False
P78811	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	506	False
P38824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	151	False
P55160	Homo sapiens	Metazoa	1127	False
Q19969	Caenorhabditis elegans	Metazoa	514	False
P24867	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	279	False
Q93062	Homo sapiens	Metazoa	196	False
F4JHA2	Arabidopsis thaliana	Plants	884	False
Q9ASV5	Arabidopsis thaliana	Plants	650	True
Q16635	Homo sapiens	Metazoa	262	False
Q9H5I1	Homo sapiens	Metazoa	410	False
O23193	Arabidopsis thaliana	Plants	236	False
Q6ZT62	Homo sapiens	Metazoa	677	False
Q6P8Z1	Mus musculus	Metazoa	170	False
Q15287	Homo sapiens	Metazoa	305	False
P63036	Rattus norvegicus	Metazoa	397	False
Q91XB0	Mus musculus	Metazoa	314	False
P87112	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	2100	False
F4KHG6	Arabidopsis thaliana	Plants	489	False
Q92341	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	630	True
Q9VGZ5	Drosophila melanogaster	Metazoa	698	False
Q9VKM1	Drosophila melanogaster	Metazoa	843	False
Q03565	Caenorhabditis elegans	Metazoa	89	False
P53072	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	289	False
P07332	Homo sapiens	Metazoa	822	False
P82192	Spinacia oleracea	Plants	258	False
Q12420	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587	False
Q04231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177	False
Q08831	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	523	False
P03911	Mus musculus	Metazoa	459	True
O75132	Homo sapiens	Metazoa	1171	False
P07195	Homo sapiens	Metazoa	334	False
Q06511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250	False
Q15560	Homo sapiens	Metazoa	299	False
P29617	Drosophila melanogaster	Metazoa	1703	False
A0A2K8FQU5	Catharanthus roseus	Plants	436	False
A8CVF3	Avicennia marina	Plants	195	False
P32807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	602	False
Q5YDB5	Arabidopsis thaliana	Plants	770	False
O35826	Rattus norvegicus	Metazoa	722	False
O15027	Homo sapiens	Metazoa	2357	False
P42677	Homo sapiens	Metazoa	84	False
Q4VC44	Homo sapiens	Metazoa	716	False
Q147X3	Homo sapiens	Metazoa	362	False
Q6P2H3	Homo sapiens	Metazoa	762	False
Q8R0N6	Mus musculus	Metazoa	465	False
Q9BUK6	Homo sapiens	Metazoa	570	False
Q04922	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	False
P51521	Drosophila melanogaster	Metazoa	1351	False
P80667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	386	False
Q9FJJ3	Arabidopsis thaliana	Plants	309	False
Q8NBS3	Homo sapiens	Metazoa	875	False
Q02457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	562	False
Q9U213	Caenorhabditis elegans	Metazoa	425	False
Q8AWF5	Xenopus laevis	Metazoa	638	False
P38855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283	False
Q8N0T1	Homo sapiens	Metazoa	100	False
P58557	Homo sapiens	Metazoa	167	False
Q9VPM5	Drosophila melanogaster	Metazoa	539	False
P38208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False
Q03557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464	False
O13816	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	962	False
P20659	Drosophila melanogaster	Metazoa	3726	False
P29344	Spinacia oleracea	Plants	411	False
Q94A41	Arabidopsis thaliana	Plants	887	False
Q9Z2A5	Mus musculus	Metazoa	516	False
Q3MIR4	Homo sapiens	Metazoa	351	True
P53804	Homo sapiens	Metazoa	2025	False
Q86VI4	Homo sapiens	Metazoa	317	False
Q06668	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471	False
Q9ESE1	Mus musculus	Metazoa	2856	False
Q03776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544	False
Q587E3	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	735	False
Q8WUG5	Homo sapiens	Metazoa	649	False
Q501D2	Arabidopsis thaliana	Plants	572	False
F4IV16	Arabidopsis thaliana	Plants	267	False
P06391	Nicotiana tabacum	Plants	93	False
O42661	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	False
P53914	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1056	False
P42695	Homo sapiens	Metazoa	1498	False
P70174	Mus musculus	Metazoa	488	False
Q8I266	Plasmodium falciparum (isolate 3D7)	Other	1470	True
Q21443	Caenorhabditis elegans	Metazoa	566	False
Q45FA5	Physarum polycephalum	Other	426	False
P48237	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	864	False
Q8MSU4	Drosophila melanogaster	Metazoa	1165	False
F4IV66	Arabidopsis thaliana	Plants	1001	False
Q96NS1	Homo sapiens	Metazoa	127	False
Q80XL6	Mus musculus	Metazoa	779	False
P11471	Chlamydomonas reinhardtii	Plants	245	False
Q18919	Caenorhabditis elegans	Metazoa	558	False
Q2TAP0	Homo sapiens	Metazoa	167	False
Q99417	Homo sapiens	Metazoa	103	False
Q9UUI6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	466	False
B9EJG8	Homo sapiens	Metazoa	249	True
Q9H582	Homo sapiens	Metazoa	1327	False
Q42564	Arabidopsis thaliana	Plants	287	False
P82024	Spinacia oleracea	Plants	180	False
Q01448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625	False
Q9BUV0	Homo sapiens	Metazoa	290	False
O94410	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	186	False
Q60547	Mesocricetus auratus	Metazoa	234	False
