Accession	Organism	Kingdom	Length	Cleavage_site
Q76CE8	Typhula ishikariensis	Fungi	243	20
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22
O62644	Bos taurus	Metazoa	151	18
Q8C1Q4	Mus musculus	Metazoa	291	21
P08069	Homo sapiens	Metazoa	1367	30
Q39649	Cucurbita maxima	Plants	141	22
O60931	Homo sapiens	Metazoa	367	22
O80323	Pyrus pyrifolia	Plants	222	22
P07457	Zoarces americanus	Metazoa	87	22
P58912	Phyllodiscus semoni	Metazoa	488	21
P07994	Bos taurus	Metazoa	360	17
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24
P27731	Gallus gallus	Metazoa	150	20
G1CWH6	Clitoria ternatea	Plants	122	25
Q41161	Robinia pseudoacacia	Plants	285	31
P24821	Homo sapiens	Metazoa	2201	22
P23389	Bos taurus	Metazoa	646	20
O15455	Homo sapiens	Metazoa	904	23
P09791	Trypanosoma brucei brucei	Other	129	27
Q8N126	Homo sapiens	Metazoa	398	24
P53366	Sus scrofa	Metazoa	188	21
Q02083	Homo sapiens	Metazoa	359	28
P28798	Mus musculus	Metazoa	589	17
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21
P01500	Apis mellifera	Metazoa	46	27
A0A7J6K7I9	Toxoplasma gondii	Other	553	64
Q9VG55	Drosophila melanogaster	Metazoa	191	24
Q6UWJ8	Homo sapiens	Metazoa	174	29
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23
P81264	Bos taurus	Metazoa	98	22
Q7M418	Oligobrachia mashikoi	Metazoa	163	16
P55899	Homo sapiens	Metazoa	365	23
P47710	Homo sapiens	Metazoa	185	15
Q29W25	Crocus sativus	Plants	168	26
A0A1L6K371	Juglans nigra	Plants	510	23
P45590	Hyalophora cecropia	Metazoa	129	17
Q25589	Faxonius limosus	Metazoa	135	26
P11911	Mus musculus	Metazoa	220	28
P42660	Aedes aegypti	Metazoa	471	19
P15196	Oryctolagus cuniculus	Metazoa	398	31
Q5FWE3	Homo sapiens	Metazoa	981	27
P20740	Gallus gallus	Metazoa	1473	36
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26
O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32
Q9D6Y1	Mus musculus	Metazoa	273	21
Q9H5V8	Homo sapiens	Metazoa	836	29
Q10E50	Oryza sativa subsp. japonica	Plants	163	43
P31025	Homo sapiens	Metazoa	176	18
Q63191	Rattus norvegicus	Metazoa	1216	21
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20
Q9NQ25	Homo sapiens	Metazoa	335	22
P01269	Sus scrofa	Metazoa	115	25
P01579	Homo sapiens	Metazoa	166	23
O59896	Pycnoporus cinnabarinus	Fungi	518	21
P29007	Bombina orientalis	Metazoa	155	31
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19
P81492	Hirudinaria manillensis	Metazoa	84	20
P08375	Sarcophaga peregrina	Metazoa	63	23
P0DMD3	Scolopendra mutilans	Metazoa	105	21
O14773	Homo sapiens	Metazoa	563	19
Q9UVI4	Claviceps fusiformis	Fungi	394	16
P31608	Sagittaria sagittifolia	Plants	181	24
Q8BHP7	Mus musculus	Metazoa	681	32
O75629	Homo sapiens	Metazoa	220	31
P85261	Actinidia chinensis var. chinensis	Plants	213	24
P08541	Rattus norvegicus	Metazoa	530	23
Q95JC9	Sus scrofa	Metazoa	676	16
Q15465	Homo sapiens	Metazoa	462	23
Q92154	Coturnix japonica	Metazoa	620	17
P28906	Homo sapiens	Metazoa	385	31
