Accession	Organism	Kingdom	Length	Cleavage_site
Q08127	Anguilla anguilla	Metazoa	147	20
P29022	Zea mays	Plants	280	25
Q09022	Xenopus laevis	Metazoa	84	18
Q6UWL6	Homo sapiens	Metazoa	708	20
P34746	Oreochromis mossambicus	Metazoa	204	17
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26
Q96AP7	Homo sapiens	Metazoa	390	29
Q9UHF4	Homo sapiens	Metazoa	553	29
Q8WML4	Bos taurus	Metazoa	580	22
P04062	Homo sapiens	Metazoa	536	39
Q5WPZ4	Lutzomyia longipalpis	Metazoa	115	22
P12318	Homo sapiens	Metazoa	317	33
P06865	Homo sapiens	Metazoa	529	22
F1N5C8	Bos taurus	Metazoa	445	22
Q13007	Homo sapiens	Metazoa	206	51
O42807	Aspergillus niger	Fungi	281	21
Q28989	Sus scrofa	Metazoa	421	26
P01364	Aplysia californica	Metazoa	108	23
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19
C0HKM3	Conus purpurascens	Metazoa	458	18
Q969P0	Homo sapiens	Metazoa	613	27
Q00657	Rattus norvegicus	Metazoa	2326	29
O00206	Homo sapiens	Metazoa	839	23
Q9TW32	Dictyostelium discoideum	Other	197	22
Q13145	Homo sapiens	Metazoa	260	20
P08505	Mus musculus	Metazoa	211	24
Q6UWN5	Homo sapiens	Metazoa	251	25
Q6UW88	Homo sapiens	Metazoa	154	22
Q9R1T7	Rattus norvegicus	Metazoa	200	20
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17
P11215	Homo sapiens	Metazoa	1152	16
Q5D710	Scylla serrata	Metazoa	126	24
O54861	Rattus norvegicus	Metazoa	825	31
O64392	Triticum aestivum	Plants	146	21
P0CS93	Gibberella zeae	Fungi	680	24
Q9U8D1	Olivierus martensii	Metazoa	56	28
P0C1X6	Tityus discrepans	Metazoa	62	26
Q12546	Aspergillus ficuum	Fungi	614	22
O35310	Mus musculus	Metazoa	311	20
P19035	Bos taurus	Metazoa	96	23
P26780	Sinapis alba	Plants	99	30
P02765	Homo sapiens	Metazoa	367	18
P56722	Bos taurus	Metazoa	979	34
Q9UAD0	Olivierus martensii	Metazoa	59	24
Q8LD43	Arabidopsis thaliana	Plants	62	22
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22
P17697	Bos taurus	Metazoa	439	19
P33577	Petromyzon marinus	Metazoa	119	19
P59938	Olivierus martensii	Metazoa	57	21
Q94K85	Arabidopsis thaliana	Plants	359	26
P01833	Homo sapiens	Metazoa	764	18
P55083	Homo sapiens	Metazoa	255	21
Q5PP12	Arabidopsis thaliana	Plants	69	25
O95157	Homo sapiens	Metazoa	252	22
B0XT72	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	452	19
Q96HE7	Homo sapiens	Metazoa	468	23
Q8S2W4	Arabidopsis thaliana	Plants	61	22
Q4V645	Drosophila melanogaster	Metazoa	108	29
P18417	Catharanthus roseus	Plants	352	31
Q9NTU7	Homo sapiens	Metazoa	201	27
P55057	Oryctolagus cuniculus	Metazoa	124	27
P21128	Homo sapiens	Metazoa	410	18
Q99944	Homo sapiens	Metazoa	293	25
P18761	Mus musculus	Metazoa	317	17
P21570	Mus musculus	Metazoa	145	24
P03971	Homo sapiens	Metazoa	560	24
P24792	Cucurbita maxima	Plants	579	30
Q1XG90	Crassostrea virginica	Metazoa	135	18
P16882	Mus musculus	Metazoa	650	24
Q42656	Coffea arabica	Plants	378	15
P18181	Mus musculus	Metazoa	240	22
O62605	Galleria mellonella	Metazoa	218	16
Q9Y4X3	Homo sapiens	Metazoa	112	24
Q6UX52	Homo sapiens	Metazoa	265	20
P01027	Mus musculus	Metazoa	1663	24
P07727	Rattus norvegicus	Metazoa	457	28
Q8VCS0	Mus musculus	Metazoa	530	22
P02783	Rattus norvegicus	Metazoa	112	21
P17301	Homo sapiens	Metazoa	1181	29
Q96HF1	Homo sapiens	Metazoa	295	24
P60153	Homo sapiens	Metazoa	205	26
Q653V7	Oryza sativa subsp. japonica	Plants	885	33
B0FHH8	Manduca sexta	Metazoa	151	18
P01076	Solanum lycopersicum	Plants	77	32
P50895	Homo sapiens	Metazoa	628	31
P82358	Acanthoscurria gomesiana	Metazoa	84	23
Q09117	Populus deltoides	Plants	312	24
P25291	Canis lupus familiaris	Metazoa	509	21
Q96BF3	Homo sapiens	Metazoa	282	22
Q5ZPR3	Homo sapiens	Metazoa	534	28
P0DUS6	Doratifera vulnerans	Metazoa	60	24
P02743	Homo sapiens	Metazoa	223	19
P04119	Sus scrofa	Metazoa	178	18
Q95NY5	Anopheles stephensi	Metazoa	315	18
P07602	Homo sapiens	Metazoa	524	16
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14
O18998	Oryctolagus cuniculus	Metazoa	281	21
O88917	Rattus norvegicus	Metazoa	1515	24
O43866	Homo sapiens	Metazoa	347	19
P05560	Dromaius novaehollandiae	Metazoa	207	23
Q9P0V8	Homo sapiens	Metazoa	285	22
Q02942	Blaberus discoidalis	Metazoa	726	16
P22301	Homo sapiens	Metazoa	178	18
O60844	Homo sapiens	Metazoa	167	16
E0XKJ9	Tabanus yao	Metazoa	349	25
