Accession	Organism	Kingdom	Length	Signal_Peptide	Transmembrane_Helix	Train	Fold
Q8CI15	Mus musculus	Metazoa	382	0	False	True	0
A2SWM2	Danio rerio	Metazoa	504	0	True	True	0
O13801	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	596	0	False	True	0
P36956	Homo sapiens	Metazoa	1147	0	False	True	0
P38873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1557	0	False	True	0
O60336	Homo sapiens	Metazoa	1514	0	False	True	0
O75004	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	501	0	False	True	0
Q1ZXQ0	Dictyostelium discoideum	Other	1019	0	False	True	0
Q62100	Mus musculus	Metazoa	101	0	False	True	0
Q6IQ20	Homo sapiens	Metazoa	393	0	False	True	0
F4ICK8	Arabidopsis thaliana	Plants	502	0	False	True	0
Q00899	Mus musculus	Metazoa	414	0	False	True	0
A2RTF1	Mus musculus	Metazoa	1109	0	False	True	0
Q94BQ3	Arabidopsis thaliana	Plants	757	0	False	True	0
P82538	Arabidopsis thaliana	Plants	230	0	False	True	0
Q9CR51	Mus musculus	Metazoa	118	0	False	True	0
Q9FWA3	Arabidopsis thaliana	Plants	486	0	False	True	0
P38169	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	460	0	False	True	0
Q8BGW1	Mus musculus	Metazoa	502	0	False	True	0
Q8NFV4	Homo sapiens	Metazoa	306	0	False	True	0
Q9P7C8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	214	0	False	True	0
H2KYU6	Caenorhabditis elegans	Metazoa	529	0	False	True	0
C0HM83	Homo sapiens	Metazoa	58	0	False	True	0
P38737	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1868	0	False	True	0
Q9FH37	Arabidopsis thaliana	Plants	234	0	False	True	0
Q8IEF6	Plasmodium falciparum (isolate 3D7)	Other	414	0	False	True	0
Q01804	Homo sapiens	Metazoa	1114	0	False	True	0
Q3E840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	82	0	False	True	0
Q6IBW4	Homo sapiens	Metazoa	605	0	False	True	0
Q06032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	482	0	False	True	0
Q96GC9	Homo sapiens	Metazoa	406	0	True	True	0
Q9BT49	Homo sapiens	Metazoa	309	0	False	True	0
Q8WVM0	Homo sapiens	Metazoa	346	0	False	True	0
O77408	Lymnaea stagnalis	Metazoa	638	0	False	True	0
Q8NAG6	Homo sapiens	Metazoa	615	0	False	True	0
Q6IDB6	Arabidopsis thaliana	Plants	182	0	False	True	0
Q06630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226	0	False	True	0
Q9BY07	Homo sapiens	Metazoa	1137	0	False	True	0
Q9VLL3	Drosophila melanogaster	Metazoa	753	0	False	True	0
Q86VD7	Homo sapiens	Metazoa	318	0	False	True	0
Q9DEE9	Gallus gallus	Metazoa	396	0	False	True	0
Q9Y2I1	Homo sapiens	Metazoa	1504	0	False	True	0
Q40089	Ipomoea batatas	Plants	200	0	False	True	0
Q9H777	Homo sapiens	Metazoa	363	0	False	True	0
O22802	Arabidopsis thaliana	Plants	97	0	True	True	0
Q9JJ09	Rattus norvegicus	Metazoa	695	0	False	True	0
Q8WYQ3	Homo sapiens	Metazoa	142	0	False	True	0
P07978	Mus musculus	Metazoa	107	0	False	True	0
P18583	Homo sapiens	Metazoa	2426	0	False	True	0
O13516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	197	0	False	True	0
P53958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	396	0	False	True	0
P50876	Homo sapiens	Metazoa	292	0	False	True	0
Q941D3	Arabidopsis thaliana	Plants	239	0	False	True	0
Q8BVE8	Mus musculus	Metazoa	1365	0	False	True	0
O04492	Arabidopsis thaliana	Plants	419	0	False	True	0
P11860	Mytilus californianus	Metazoa	45	0	False	True	0
P25696	Arabidopsis thaliana	Plants	444	0	False	True	0
Q9SMH4	Chlamydomonas reinhardtii	Plants	410	0	False	True	0
A0FGR9	Homo sapiens	Metazoa	886	0	True	True	0
Q9Y3R4	Homo sapiens	Metazoa	380	0	False	True	0
Q16774	Homo sapiens	Metazoa	197	0	False	True	0
Q49MI3	Homo sapiens	Metazoa	558	0	False	True	0
Q7TNK1	Mus musculus	Metazoa	735	0	False	True	0
P92966	Arabidopsis thaliana	Plants	356	0	False	True	0
Q96EU6	Homo sapiens	Metazoa	259	0	False	True	0
Q7TSH3	Mus musculus	Metazoa	1157	0	False	True	0
Q12354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	227	0	False	True	0
P38985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146	0	False	True	0
P06168	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	395	0	False	True	0
Q9Z1A5	Rattus norvegicus	Metazoa	534	0	False	True	0
F1NPG5	Gallus gallus	Metazoa	639	0	False	True	0
O14329	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	386	0	False	True	0
O05000	Arabidopsis thaliana	Plants	499	0	True	True	0
O35465	Mus musculus	Metazoa	402	0	False	True	0
Q00731	Mus musculus	Metazoa	392	0	False	True	0
P97838	Rattus norvegicus	Metazoa	977	0	False	True	0
Q9SM57	Pisum sativum	Plants	177	0	False	True	0
Q5T6F0	Homo sapiens	Metazoa	453	0	False	True	0
Q86WQ0	Homo sapiens	Metazoa	139	0	False	True	0
P38818	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	585	0	False	True	0
Q9EP97	Mus musculus	Metazoa	568	0	False	True	0
P52296	Rattus norvegicus	Metazoa	875	0	False	True	0
Q5XKP0	Homo sapiens	Metazoa	118	0	True	True	0
Q8WVF1	Homo sapiens	Metazoa	389	0	False	True	0
Q9P2Y4	Homo sapiens	Metazoa	722	0	False	True	0
Q09675	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240	0	False	True	0
Q03824	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	705	0	False	True	0
O94826	Homo sapiens	Metazoa	608	0	True	True	0
O74771	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	374	0	False	True	0
Q9FFA7	Arabidopsis thaliana	Plants	368	0	False	True	0
P39678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	833	0	False	True	0
Q1G3I2	Arabidopsis thaliana	Plants	117	0	False	True	0
Q8C854	Mus musculus	Metazoa	591	0	False	True	0
P22068	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	525	0	False	True	0
Q12748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	733	0	False	True	0
Q9UKK3	Homo sapiens	Metazoa	1724	0	False	True	0
P46963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296	0	False	True	0
Q86XK3	Homo sapiens	Metazoa	245	0	False	True	0
P17937	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	249	0	False	True	0
O14497	Homo sapiens	Metazoa	2285	0	False	True	0
P70033	Xenopus laevis	Metazoa	435	0	False	True	0
P40757	Aquarana catesbeiana	Metazoa	484	0	False	True	0
A6YSL1	Zea mays	Plants	525	0	False	True	0
Q9SE43	Arabidopsis thaliana	Plants	842	0	False	True	0
Q9BR61	Homo sapiens	Metazoa	282	0	False	True	0
P06509	Spinacia oleracea	Plants	272	0	False	True	0
P84086	Mus musculus	Metazoa	134	0	False	True	0
Q23696	Crithidia fasciculata	Other	467	0	False	True	0
Q7XK25	Oryza sativa subsp. japonica	Plants	475	0	False	True	0
Q15560	Homo sapiens	Metazoa	299	0	False	True	0
Q9GZR7	Homo sapiens	Metazoa	859	0	False	True	0
Q9DAT5	Mus musculus	Metazoa	417	0	False	True	0
O94670	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	273	0	False	True	0
Q8VEE1	Mus musculus	Metazoa	365	0	False	True	0
P32499	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	720	0	False	True	0
P46309	Arabidopsis thaliana	Plants	522	0	False	True	0
E9AGH7	Leishmania infantum	Other	365	0	False	True	0
P40535	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587	0	False	True	0
O65680	Arabidopsis thaliana	Plants	279	0	False	True	0
Q45FA5	Physarum polycephalum	Other	426	0	False	True	0
Q84JL7	Arabidopsis thaliana	Plants	330	0	False	True	0
Q12252	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	991	0	True	True	0
Q8WVI0	Homo sapiens	Metazoa	70	0	True	True	0
Q9VH08	Drosophila melanogaster	Metazoa	317	0	False	True	0
Q8GXF8	Arabidopsis thaliana	Plants	283	0	False	True	0
O46385	Bos taurus	Metazoa	2194	0	False	True	0
F4I9G2	Arabidopsis thaliana	Plants	426	0	False	True	0
Q9FT52	Arabidopsis thaliana	Plants	168	0	False	True	0
Q99929	Homo sapiens	Metazoa	193	0	False	True	0
Q8IVQ6	Homo sapiens	Metazoa	265	0	True	True	0
Q9SNX8	Apium graveolens	Plants	496	0	False	True	0
O81098	Arabidopsis thaliana	Plants	205	0	False	True	0
P47015	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356	0	False	True	0
Q09668	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	117	0	False	True	0
P43554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	623	0	False	True	0
O18017	Caenorhabditis elegans	Metazoa	988	0	False	True	0
O94761	Homo sapiens	Metazoa	1208	0	False	True	0
Q9FJJ3	Arabidopsis thaliana	Plants	309	0	False	True	0
Q6ZQX7	Homo sapiens	Metazoa	453	0	False	True	0
Q8W3L1	Arabidopsis thaliana	Plants	483	0	False	True	0
Q8CI52	Mus musculus	Metazoa	662	0	False	True	0
Q9VN60	Drosophila melanogaster	Metazoa	278	0	False	True	0
Q9USH6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	204	0	False	True	0
Q920Q8	Mus musculus	Metazoa	642	0	False	True	0
O94621	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	365	0	False	True	0
Q8WV24	Homo sapiens	Metazoa	401	0	False	True	0
Q9VWC6	Drosophila melanogaster	Metazoa	1596	0	False	True	0
O74880	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	360	0	False	True	0
Q8WY91	Homo sapiens	Metazoa	577	0	False	True	0
P42841	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	465	0	False	True	0
Q7SAJ1	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	236	0	False	True	0
Q9SL94	Arabidopsis thaliana	Plants	324	0	False	True	0
P53909	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	347	0	False	True	0
Q9H813	Homo sapiens	Metazoa	350	0	True	True	0
Q9FJY5	Arabidopsis thaliana	Plants	524	0	False	True	0
Q96AY2	Homo sapiens	Metazoa	570	0	False	True	0
Q12373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	385	0	False	True	0
Q12062	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	Fungi	643	0	False	True	0
Q91X84	Mus musculus	Metazoa	619	0	False	True	0
Q7JM44	Caenorhabditis elegans	Metazoa	2242	0	False	True	0
Q09349	Caenorhabditis elegans	Metazoa	984	0	False	True	0
P97577	Rattus norvegicus	Metazoa	393	0	False	True	0
Q9FNH6	Arabidopsis thaliana	Plants	231	0	True	True	0
Q9WV69	Mus musculus	Metazoa	405	0	False	True	0
Q9NYV7	Homo sapiens	Metazoa	291	0	False	True	0
O08573	Mus musculus	Metazoa	353	0	False	True	0
Q94BT6	Arabidopsis thaliana	Plants	609	0	False	True	0
Q9LW00	Arabidopsis thaliana	Plants	254	0	False	True	0
Q02606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381	0	False	True	0
Q9WVS6	Mus musculus	Metazoa	464	0	False	True	0
O75506	Homo sapiens	Metazoa	76	0	False	True	0
P32322	Homo sapiens	Metazoa	319	0	False	True	0
Q8LBM2	Arabidopsis thaliana	Plants	131	0	False	True	0
Q6GNV6	Xenopus laevis	Metazoa	856	0	False	True	0
Q9VEX5	Drosophila melanogaster	Metazoa	689	0	False	True	0
Q9QXN0	Mus musculus	Metazoa	1986	0	False	True	0
P57093	Rattus norvegicus	Metazoa	338	0	False	True	0
Q09014	Mus musculus	Metazoa	390	0	False	True	0
Q9W1F4	Drosophila melanogaster	Metazoa	616	0	False	True	0
Q9SJ12	Arabidopsis thaliana	Plants	240	0	False	True	0
Q4WF55	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	462	0	False	True	0
P18263	Chlamydomonas reinhardtii	Plants	46	0	True	True	0
Q15678	Homo sapiens	Metazoa	1187	0	False	True	0
Q84V03	Arabidopsis thaliana	Plants	778	0	False	True	0
Q9NYY8	Homo sapiens	Metazoa	710	0	False	True	0
O43508	Homo sapiens	Metazoa	249	0	False	True	0
Q9SCL7	Arabidopsis thaliana	Plants	347	0	False	True	0
Q42510	Arabidopsis thaliana	Plants	1451	0	False	True	0
Q8C0V1	Mus musculus	Metazoa	768	0	False	True	0
Q3KN41	Drosophila melanogaster	Metazoa	1840	0	False	True	0
Q96ST2	Homo sapiens	Metazoa	819	0	False	True	0
Q3UP24	Mus musculus	Metazoa	1024	0	False	True	0
Q42843	Hordeum vulgare	Plants	527	0	False	True	0
Q4WJ81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	754	0	False	True	0
Q9NVA1	Homo sapiens	Metazoa	299	0	False	True	0
Q3U2U7	Mus musculus	Metazoa	461	0	False	True	0
O00463	Homo sapiens	Metazoa	557	0	False	True	0
Q10272	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	446	0	False	True	0
P17152	Homo sapiens	Metazoa	192	0	True	True	0
E9Q7G0	Mus musculus	Metazoa	2094	0	False	True	0
Q18616	Caenorhabditis elegans	Metazoa	537	0	False	True	0
O13965	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	730	0	False	True	0
O35484	Mus musculus	Metazoa	448	0	False	True	0
P11471	Chlamydomonas reinhardtii	Plants	245	0	False	True	0
Q9SW18	Arabidopsis thaliana	Plants	312	0	False	True	0
P47084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	519	0	False	True	0
Q12208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290	0	False	True	0
Q6PJ21	Homo sapiens	Metazoa	355	0	False	True	0
D4AEP3	Rattus norvegicus	Metazoa	194	0	True	True	0
Q8R526	Mus musculus	Metazoa	2615	0	False	True	0
Q923W1	Mus musculus	Metazoa	853	0	False	True	0
O95059	Homo sapiens	Metazoa	124	0	False	True	0
Q9ZUX4	Arabidopsis thaliana	Plants	113	0	False	True	0
