Accession	Organism	Kingdom	Length	Transmembrane_Helix
Q39002	Arabidopsis thaliana	Plants	624	False
Q96PN7	Homo sapiens	Metazoa	1200	False
Q86TP1	Homo sapiens	Metazoa	453	False
Q19614	Caenorhabditis elegans	Metazoa	433	False
P40917	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295	False
Q9Y6W5	Homo sapiens	Metazoa	498	False
P42935	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	788	False
Q9SR62	Arabidopsis thaliana	Plants	309	False
P54256	Rattus norvegicus	Metazoa	629	False
Q9H5F2	Homo sapiens	Metazoa	150	False
P46678	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	594	False
Q9Y6W3	Homo sapiens	Metazoa	813	False
P48239	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356	False
O97297	Plasmodium falciparum (isolate 3D7)	Other	404	False
Q941Q3	Arabidopsis thaliana	Plants	524	False
Q9UUC7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	366	False
Q8W191	Arabidopsis thaliana	Plants	149	False
Q09750	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1522	False
Q01532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483	False
P52566	Homo sapiens	Metazoa	201	False
Q22829	Caenorhabditis elegans	Metazoa	470	False
Q9GMC9	Ovis aries	Metazoa	169	False
Q9ET80	Mus musculus	Metazoa	660	False
P87176	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	269	False
B1AL88	Homo sapiens	Metazoa	458	True
P36552	Mus musculus	Metazoa	443	False
Q9C829	Arabidopsis thaliana	Plants	440	False
Q10168	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	598	False
Q9P7V3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	220	False
Q8QZY3	Mus musculus	Metazoa	150	False
Q7SIB8	Dryopteris crassirhizoma	Plants	102	False
Q92621	Homo sapiens	Metazoa	2012	False
Q9P7S6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	274	False
O09130	Mus musculus	Metazoa	412	False
Q8VZQ4	Arabidopsis thaliana	Plants	536	False
P38885	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310	False
Q8K0U3	Mus musculus	Metazoa	198	True
Q9ZQI7	Arabidopsis thaliana	Plants	456	False
Q924W6	Mus musculus	Metazoa	1344	False
Q6X7J9	Arabidopsis thaliana	Plants	251	False
G5ECD6	Caenorhabditis elegans	Metazoa	1322	True
Q91WW3	Mus musculus	Metazoa	302	False
Q15543	Homo sapiens	Metazoa	124	False
P54939	Gallus gallus	Metazoa	2541	False
P30429	Caenorhabditis elegans	Metazoa	549	False
Q75GR5	Oryza sativa subsp. japonica	Plants	281	False
P03903	Mus musculus	Metazoa	98	True
Q6K431	Oryza sativa subsp. japonica	Plants	1022	False
Q8L4R0	Arabidopsis thaliana	Plants	350	False
P49021	Drosophila melanogaster	Metazoa	1398	False
Q9UU84	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	426	False
Q8N5G0	Homo sapiens	Metazoa	67	True
Q9H061	Homo sapiens	Metazoa	195	True
Q96KQ7	Homo sapiens	Metazoa	1210	False
Q10252	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	358	True
P53218	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	158	False
Q9ZST4	Arabidopsis thaliana	Plants	196	False
Q08921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	799	False
A1Z8D0	Drosophila melanogaster	Metazoa	459	False
Q9DB77	Mus musculus	Metazoa	453	False
Q08683	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	685	False
Q9JLR5	Mus musculus	Metazoa	209	False
Q7SH52	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	1168	False
O13712	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	844	False
Q8K3D3	Mus musculus	Metazoa	89	False
O82504	Arabidopsis thaliana	Plants	1133	False
Q9GZM5	Homo sapiens	Metazoa	350	False
Q9D023	Mus musculus	Metazoa	127	True
Q9JKD9	Mus musculus	Metazoa	465	False
P25655	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2108	False
Q5M729	Arabidopsis thaliana	Plants	539	False
O74365	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	865	False
Q02637	Drosophila melanogaster	Metazoa	449	False
Q8VYF7	Arabidopsis thaliana	Plants	238	False
Q9SV55	Arabidopsis thaliana	Plants	425	False
Q9JJR2	Mus musculus	Metazoa	179	False
P52306	Homo sapiens	Metazoa	607	False
Q10204	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	250	False
P80269	Solanum tuberosum	Plants	229	False
Q9U6M1	Leishmania tarentolae	Other	827	False
Q9LXF3	Arabidopsis thaliana	Plants	187	True
Q9W1V7	Drosophila melanogaster	Metazoa	452	False
P55263	Homo sapiens	Metazoa	362	False
O94650	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	73	False
Q9H8M7	Homo sapiens	Metazoa	445	False
P40069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1113	False
Q71RC2	Homo sapiens	Metazoa	724	False
O74331	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	363	False
Q04048	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	859	False
P49107	Arabidopsis thaliana	Plants	171	False
Q9WVJ4	Rattus norvegicus	Metazoa	145	False
P0DKH5	Arabidopsis thaliana	Plants	1288	False
Q9NZC4	Homo sapiens	Metazoa	300	False
Q8SWX0	Drosophila melanogaster	Metazoa	167	False
Q12104	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	458	False
Q0VD86	Homo sapiens	Metazoa	236	False
Q12906	Homo sapiens	Metazoa	894	False
P50110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327	True
Q9Y6N9	Homo sapiens	Metazoa	552	False
O13838	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	371	False
Q94A03	Arabidopsis thaliana	Plants	391	False
Q9D2V8	Mus musculus	Metazoa	456	True
P15382	Homo sapiens	Metazoa	129	True
Q9C0N3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	90	False
Q7Z698	Homo sapiens	Metazoa	418	False
Q80U87	Mus musculus	Metazoa	1080	False
P14866	Homo sapiens	Metazoa	589	False
Q9VR38	Drosophila melanogaster	Metazoa	528	False
P22681	Homo sapiens	Metazoa	906	False
P14137	Rattus norvegicus	Metazoa	526	False
Q01359	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	148	False
O94830	Homo sapiens	Metazoa	711	False
Q95QA6	Caenorhabditis elegans	Metazoa	663	False
Q5XKL5	Homo sapiens	Metazoa	1792	False
Q60676	Mus musculus	Metazoa	499	False
Q05863	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155	False
Q80UF9	Mus musculus	Metazoa	577	False
Q7Z591	Homo sapiens	Metazoa	1439	False
Q7XJM2	Arabidopsis thaliana	Plants	618	False
Q12297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353	False
Q9USP9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	589	False
P41223	Homo sapiens	Metazoa	144	False
F4IAT8	Arabidopsis thaliana	Plants	326	False
P53246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	860	False
Q8IWV1	Homo sapiens	Metazoa	398	False
P47123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	218	False
O13709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False
Q9ULU4	Homo sapiens	Metazoa	1186	False
Q04170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	232	False
Q9NZE8	Homo sapiens	Metazoa	188	False
Q14159	Homo sapiens	Metazoa	915	False
P06105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1222	False
P51175	Mus musculus	Metazoa	477	False
Q9LQK7	Arabidopsis thaliana	Plants	475	False
P09932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	586	False
Q04430	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	367	False
Q8IY92	Homo sapiens	Metazoa	1834	False
Q6ID70	Arabidopsis thaliana	Plants	150	False
P36159	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	838	False
Q04675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	128	False
Q9D855	Mus musculus	Metazoa	111	False
Q01981	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	416	False
Q8TB36	Homo sapiens	Metazoa	358	False
Q8IXH6	Homo sapiens	Metazoa	220	False
F4JXF1	Arabidopsis thaliana	Plants	581	False
Q940X9	Arabidopsis thaliana	Plants	826	False
P40012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539	False
P82970	Homo sapiens	Metazoa	282	False
Q9JL55	Rattus norvegicus	Metazoa	331	True
Q01852	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	431	False
Q9EQ61	Mus musculus	Metazoa	584	False
Q811I0	Mus musculus	Metazoa	324	False
Q22024	Caenorhabditis elegans	Metazoa	543	False
P28320	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278	False
Q05027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157	False
O13894	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124	False
P0CT58	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	130	False
Q86V20	Homo sapiens	Metazoa	835	False
Q03718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	556	False
Q810H6	Rattus norvegicus	Metazoa	846	False
Q8LLD0	Arabidopsis thaliana	Plants	1046	False
Q8NG98	Homo sapiens	Metazoa	312	False
Q99PD6	Rattus norvegicus	Metazoa	461	False
Q9HCN4	Homo sapiens	Metazoa	374	False
Q07065	Homo sapiens	Metazoa	602	False
Q9ULP9	Homo sapiens	Metazoa	559	False
A1Z830	Drosophila melanogaster	Metazoa	485	False
Q8N4Q1	Homo sapiens	Metazoa	142	False
Q9QX98	Mus musculus	Metazoa	324	False
O74374	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	554	False
Q1H5E9	Arabidopsis thaliana	Plants	397	False
Q92366	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	61	False
Q5EGY4	Rattus norvegicus	Metazoa	198	False
P17665	Mus musculus	Metazoa	63	True
G2HK15	Caenorhabditis elegans	Metazoa	367	False
Q12334	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	223	False
O48533	Arabidopsis thaliana	Plants	259	False
Q9FGW9	Arabidopsis thaliana	Plants	1061	False
O00841	Dictyostelium discoideum	Other	802	False
Q92989	Homo sapiens	Metazoa	425	False
P82192	Spinacia oleracea	Plants	258	False
Q9FJI5	Arabidopsis thaliana	Plants	515	False
Q62384	Mus musculus	Metazoa	459	False
P12354	Spinacia oleracea	Plants	125	False
P09956	Drosophila melanogaster	Metazoa	575	False
Q9M0S5	Arabidopsis thaliana	Plants	764	False
Q9H9P8	Homo sapiens	Metazoa	463	False
Q04847	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553	False
P23276	Homo sapiens	Metazoa	732	False
Q07163	Saccharomyces cerevisiae	Fungi	1755	False
Q9XVS8	Caenorhabditis elegans	Metazoa	405	False
Q9JKT3	Mus musculus	Metazoa	297	False
Q01080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415	False
Q7TNS8	Mus musculus	Metazoa	369	False
Q96JB5	Homo sapiens	Metazoa	506	False
Q9FGN8	Arabidopsis thaliana	Plants	639	False
Q00912	Wickerhamomyces anomalus	Fungi	342	False
Q3UB74	Mus musculus	Metazoa	406	False
Q02060	Spinacia oleracea	Plants	274	False
O60447	Homo sapiens	Metazoa	810	False
P53184	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	216	False
Q53TN4	Homo sapiens	Metazoa	286	False
Q96K80	Homo sapiens	Metazoa	434	False
Q5QGS0	Homo sapiens	Metazoa	1516	False
P17883	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1432	False
Q7RYV0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	176	False
Q91ZX6	Mus musculus	Metazoa	588	False
Q08831	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	523	False
P47108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1174	False
P29617	Drosophila melanogaster	Metazoa	1703	False
Q1MTQ0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	692	False
P53196	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417	False
D4A3U0	Rattus norvegicus	Metazoa	432	False
Q8N2Z9	Homo sapiens	Metazoa	138	False
P38197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	257	False
Q8R515	Rattus norvegicus	Metazoa	873	False
Q9NVU0	Homo sapiens	Metazoa	708	False
Q9CAP8	Arabidopsis thaliana	Plants	691	False
Q3E823	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	68	False
P52792	Mus musculus	Metazoa	465	False
Q07279	Mus musculus	Metazoa	373	False
Q9UM54	Homo sapiens	Metazoa	1294	False
Q5LJZ2	Drosophila melanogaster	Metazoa	1641	False
Q15785	Homo sapiens	Metazoa	309	False
P20676	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1076	False
P89105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1077	False
P42677	Homo sapiens	Metazoa	84	False
Q04213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	475	False
Q8GW43	Arabidopsis thaliana	Plants	476	False
P05109	Homo sapiens	Metazoa	93	False
O43687	Homo sapiens	Metazoa	104	False
O47027	Chlamydomonas reinhardtii	Plants	570	False
C0HLF1	Dictyostelium discoideum	Other	154	False
O75122	Homo sapiens	Metazoa	1294	False
O08608	Mus musculus	Metazoa	189	False
Q7S910	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	263	False
Q8LGI2	Arabidopsis thaliana	Plants	454	False
Q12192	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310	False
Q505B8	Mus musculus	Metazoa	171	False
P19173	Ipomoea batatas	Plants	64	True
F4KAV2	Arabidopsis thaliana	Plants	442	False
Q0WPZ7	Arabidopsis thaliana	Plants	611	False
Q9Y512	Homo sapiens	Metazoa	469	False
Q93WL3	Arabidopsis thaliana	Plants	238	False
B2D6P4	Caenorhabditis elegans	Metazoa	508	False
O43502	Homo sapiens	Metazoa	376	False
Q8WV28	Homo sapiens	Metazoa	456	False
Q9H078	Homo sapiens	Metazoa	707	False
Q99569	Homo sapiens	Metazoa	1192	False
Q9UBI1	Homo sapiens	Metazoa	195	False
Q12235	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	531	True
Q9UH92	Homo sapiens	Metazoa	298	False
Q9HE07	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	534	False
Q0IGK1	Arabidopsis thaliana	Plants	445	False
Q9D3F7	Mus musculus	Metazoa	229	False
Q9Z1P6	Mus musculus	Metazoa	113	False
Q14498	Homo sapiens	Metazoa	530	False
P48985	Mus musculus	Metazoa	351	False
G5ECG2	Caenorhabditis elegans	Metazoa	467	False
Q96KR7	Homo sapiens	Metazoa	559	False
P06367	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137	False
Q99K90	Mus musculus	Metazoa	693	False
Q9UT76	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	393	False
Q61097	Mus musculus	Metazoa	873	False
Q9XZS8	Drosophila melanogaster	Metazoa	613	False
Q7X6P3	Arabidopsis thaliana	Plants	608	False
Q9SU56	Arabidopsis thaliana	Plants	610	True
Q9C552	Arabidopsis thaliana	Plants	753	False
Q96NE9	Homo sapiens	Metazoa	622	False
A0A075TRC0	Penicillium expansum	Fungi	1776	False
Q12066	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	484	False
Q99575	Homo sapiens	Metazoa	1024	False
Q9P7W8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	780	False
Q3U0V2	Mus musculus	Metazoa	310	False
P10676	Drosophila melanogaster	Metazoa	1501	False
O14122	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	734	False
Q09XV5	Mus musculus	Metazoa	2582	False
Q6UN15	Homo sapiens	Metazoa	594	False
O94428	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	115	False
Q10067	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	690	False
Q9VNB5	Drosophila melanogaster	Metazoa	486	False
Q23405	Caenorhabditis elegans	Metazoa	842	False
P69851	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	72	False
M9MRD1	Drosophila melanogaster	Metazoa	12345	False
P82916	Bos taurus	Metazoa	130	False
Q9XIP2	Arabidopsis thaliana	Plants	505	False
Q9Y3S2	Homo sapiens	Metazoa	320	False
Q9VSB9	Drosophila melanogaster	Metazoa	376	True
Q02457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	562	False
P39990	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	126	False
Q9TYT3	Caenorhabditis elegans	Metazoa	316	False
Q9LZW2	Arabidopsis thaliana	Plants	270	False
Q8IWA0	Homo sapiens	Metazoa	830	False
Q9N4M4	Caenorhabditis elegans	Metazoa	8545	False
O59676	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	359	False
P10069	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	432	False
Q62261	Mus musculus	Metazoa	2363	False
Q9FJW3	Arabidopsis thaliana	Plants	82	True
Q9UPN3	Homo sapiens	Metazoa	7388	False
P37263	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153	False
P32120	Bos taurus	Metazoa	420	False
P41977	Caenorhabditis elegans	Metazoa	218	False
Q96RS6	Homo sapiens	Metazoa	583	False
Q6P4R8	Homo sapiens	Metazoa	1299	False
Q06665	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	692	False
Q923M1	Rattus norvegicus	Metazoa	233	False
P22798	Spinacia oleracea	Plants	271	False
Q9NRP2	Homo sapiens	Metazoa	79	False
A0A140LI88	Mus musculus	Metazoa	1857	False
O54957	Mus musculus	Metazoa	242	False
Q9H147	Homo sapiens	Metazoa	329	False
Q84VQ1	Arabidopsis thaliana	Plants	283	False
O96759	Dictyostelium discoideum	Other	611	False
O13395	Mycosarcoma maydis	Fungi	1180	False
P22561	Mus musculus	Metazoa	449	False
Q8IAX8	Plasmodium falciparum (isolate 3D7)	Other	248	False
P53317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	196	False
P47041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543	False
P28795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441	True
P43449	Gallus gallus	Metazoa	395	False
P52593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1655	False
Q9GYS1	Caenorhabditis elegans	Metazoa	459	False
Q08932	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	381	False
P12956	Homo sapiens	Metazoa	609	False
Q86WX3	Homo sapiens	Metazoa	136	False
P11836	Homo sapiens	Metazoa	297	True
Q00922	Candida boidinii	Fungi	663	False
Q7Z412	Homo sapiens	Metazoa	305	False
A0A0A6YY25	Mus musculus	Metazoa	723	False
Q9FMV1	Arabidopsis thaliana	Plants	252	False
Q9BWU0	Homo sapiens	Metazoa	742	False
Q6UPE1	Rattus norvegicus	Metazoa	616	False
Q9XI73	Arabidopsis thaliana	Plants	190	False
P50591	Homo sapiens	Metazoa	281	False
Q63ZY3	Homo sapiens	Metazoa	851	False
P49335	Homo sapiens	Metazoa	361	False
P09959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	803	False
Q8IBN8	Plasmodium falciparum (isolate 3D7)	Other	899	False
Q9NJP9	Trypanosoma brucei brucei	Other	512	False
Q86YV9	Homo sapiens	Metazoa	775	False
Q15811	Homo sapiens	Metazoa	1721	False
Q9M2N5	Arabidopsis thaliana	Plants	696	False
Q96WW2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	383	False
Q7L0Y3	Homo sapiens	Metazoa	403	False
Q8N5P1	Homo sapiens	Metazoa	291	False
Q7Z3K3	Homo sapiens	Metazoa	1410	False
P08638	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	886	False
Q9UTA6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	303	False
Q9WTR1	Mus musculus	Metazoa	756	False
Q9VY78	Drosophila melanogaster	Metazoa	260	False
P38351	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	445	False
F4K6X0	Arabidopsis thaliana	Plants	121	False
P32388	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	137	False
