Accession	Organism	Kingdom	Length	Cleavage_site
P55847	Penaeus japonicus	Metazoa	105	28
P35495	Sus scrofa	Metazoa	133	24
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19
Q95NJ8	Olivierus martensii	Metazoa	55	23
Q6UX27	Homo sapiens	Metazoa	236	16
Q15399	Homo sapiens	Metazoa	786	24
P17301	Homo sapiens	Metazoa	1181	29
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21
P31836	Bos taurus	Metazoa	853	19
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23
O64392	Triticum aestivum	Plants	146	21
P18657	Macaca fascicularis	Metazoa	83	26
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	96	19
O11780	Sus scrofa	Metazoa	683	23
P80022	Solanum lycopersicum	Plants	230	25
O08795	Mus musculus	Metazoa	521	14
P79263	Sus scrofa	Metazoa	921	27
Q94733	Rhodnius prolixus	Metazoa	202	23
Q01129	Rattus norvegicus	Metazoa	354	16
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18
Q99MA2	Rattus norvegicus	Metazoa	674	22
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15
P15261	Mus musculus	Metazoa	477	25
Q76CE8	Typhula ishikariensis	Fungi	243	20
P80109	Bos taurus	Metazoa	839	23
Q6UXD5	Homo sapiens	Metazoa	910	27
P02652	Homo sapiens	Metazoa	100	18
A7VN15	Protobothrops flavoviridis	Metazoa	79	19
Q62632	Rattus norvegicus	Metazoa	306	18
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46
Q75WF2	Acanthaster planci	Metazoa	358	26
O60844	Homo sapiens	Metazoa	167	16
P42292	Gallus gallus	Metazoa	588	33
P15516	Homo sapiens	Metazoa	51	19
C9K4X8	Patiria pectinifera	Metazoa	116	29
P48819	Sus scrofa	Metazoa	459	19
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18
P26780	Sinapis alba	Plants	99	30
Q7Z1K3	Anisakis simplex	Metazoa	194	23
P04196	Homo sapiens	Metazoa	525	18
Q969Z4	Homo sapiens	Metazoa	430	25
O02380	Tyrophagus putrescentiae	Metazoa	141	15
F1NSM7	Gallus gallus	Metazoa	743	18
Q95JC9	Sus scrofa	Metazoa	676	16
P02743	Homo sapiens	Metazoa	223	19
Q9Y240	Homo sapiens	Metazoa	323	21
P10124	Homo sapiens	Metazoa	158	27
P08796	Dictyostelium discoideum	Other	514	19
Q9LLT1	Juniperus virginiana	Plants	367	21
Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19
P32004	Homo sapiens	Metazoa	1257	19
O76076	Homo sapiens	Metazoa	250	23
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20
Q8N441	Homo sapiens	Metazoa	504	24
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19
Q7YZS9	Conus virgo	Metazoa	67	26
Q6UX46	Homo sapiens	Metazoa	152	24
Q6UWJ8	Homo sapiens	Metazoa	174	29
P01833	Homo sapiens	Metazoa	764	18
P12872	Homo sapiens	Metazoa	115	25
Q9VA83	Drosophila melanogaster	Metazoa	227	19
Q14802	Homo sapiens	Metazoa	87	20
Q6X4U4	Homo sapiens	Metazoa	206	23
O18998	Oryctolagus cuniculus	Metazoa	281	21
P11150	Homo sapiens	Metazoa	499	22
P42578	Lymnaea stagnalis	Metazoa	239	18
Q60GF7	Rattus norvegicus	Metazoa	252	22
P05059	Bos taurus	Metazoa	449	18
Q96F46	Homo sapiens	Metazoa	866	32
P29007	Bombina orientalis	Metazoa	155	31
O02826	Sus scrofa	Metazoa	111	20
Q95NY5	Anopheles stephensi	Metazoa	315	18
P0C8G6	Pomacea canaliculata	Metazoa	565	26
P31419	Manduca sexta	Metazoa	161	20
Q9Y279	Homo sapiens	Metazoa	399	19
P31358	Homo sapiens	Metazoa	61	24
P08069	Homo sapiens	Metazoa	1367	30
Q8MVA6	Ixodes scapularis	Metazoa	69	23
Q76FP5	Hypocrea rufa	Fungi	479	20
Q95P90	Olivierus martensii	Metazoa	94	22
Q9Z0K8	Mus musculus	Metazoa	512	23
P01538	Viscum album	Plants	111	26
P51868	Rattus norvegicus	Metazoa	413	19
Q27908	Pinctada fucata	Metazoa	447	17
O15455	Homo sapiens	Metazoa	904	23
Q39962	Hevea brasiliensis	Plants	238	31
P15270	Dictyostelium discoideum	Other	424	23
P00719	Struthio camelus	Metazoa	204	19
P67861	Daboia russelii	Metazoa	144	24
C4NZN9	Hyas araneus	Metazoa	131	16
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24
P21128	Homo sapiens	Metazoa	410	18
Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23
Q03405	Homo sapiens	Metazoa	335	22
Q28173	Bos taurus	Metazoa	416	22
Q6UXK5	Homo sapiens	Metazoa	716	25
P01033	Homo sapiens	Metazoa	207	23
P49767	Homo sapiens	Metazoa	419	31
Q0ZS87	Phlebotomus perniciosus	Metazoa	393	18
P21837	Dictyostelium discoideum	Other	550	19
O76818	Agrotis ipsilon	Metazoa	193	19
Q6UX52	Homo sapiens	Metazoa	265	20
P06681	Homo sapiens	Metazoa	752	20
P18761	Mus musculus	Metazoa	317	17
Q43413	Capsicum annuum	Plants	75	27
Q968Z6	Dictyostelium discoideum	Other	557	19
P27773	Mus musculus	Metazoa	505	24
Q9U572	Penaeus monodon	Metazoa	1670	14
Q9NQ25	Homo sapiens	Metazoa	335	22
Q8T4J9	Manduca sexta	Metazoa	180	15
Q9BZM5	Homo sapiens	Metazoa	246	25
O54861	Rattus norvegicus	Metazoa	825	31
Q55GS3	Dictyostelium discoideum	Other	607	19
P0C8G7	Pomacea canaliculata	Metazoa	286	30
P35777	Solenopsis invicta	Metazoa	137	19
Q9NZ53	Homo sapiens	Metazoa	605	32
P48747	Oryctolagus cuniculus	Metazoa	557	21
P42256	Aspergillus niger	Fungi	321	19
Q5AMT2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18
Q9UVI4	Claviceps fusiformis	Fungi	394	16
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18
A7L035	Chironex fleckeri	Metazoa	456	20
Q653V7	Oryza sativa subsp. japonica	Plants	885	33
Q03383	Bombyx mori	Metazoa	400	16
P49256	Canis lupus familiaris	Metazoa	356	44
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25
P0DKU2	Pandinus imperator	Metazoa	145	15
P15450	Apis mellifera	Metazoa	53	19
P05560	Dromaius novaehollandiae	Metazoa	207	23
Q9P2K2	Homo sapiens	Metazoa	825	27
P26842	Homo sapiens	Metazoa	260	19
P80686	Tenebrio molitor	Metazoa	211	16
P60568	Homo sapiens	Metazoa	153	20
P11919	Manduca sexta	Metazoa	88	26
Q8SXL2	Drosophila melanogaster	Metazoa	136	24
Q9NYY1	Homo sapiens	Metazoa	176	24
Q90W22	Aquarana catesbeiana	Metazoa	114	24
P13671	Homo sapiens	Metazoa	934	21
Q23997	Drosophila melanogaster	Metazoa	452	18
Q96BF3	Homo sapiens	Metazoa	282	22
O55232	Rattus norvegicus	Metazoa	130	32
Q6QD51	Rattus norvegicus	Metazoa	949	27
Q86LE5	Rhipicephalus microplus	Metazoa	110	20
P81702	Ceratocystis fimbriata f. sp. platani	Fungi	134	14
P52706	Prunus serotina	Plants	563	27
Q08380	Homo sapiens	Metazoa	585	18
Q9SU40	Arabidopsis thaliana	Plants	587	20
Q6UWI4	Homo sapiens	Metazoa	295	33
P52823	Homo sapiens	Metazoa	247	17
Q6UW56	Homo sapiens	Metazoa	229	30
P19324	Mus musculus	Metazoa	417	17
P07727	Rattus norvegicus	Metazoa	457	28
P24792	Cucurbita maxima	Plants	579	30
P01148	Homo sapiens	Metazoa	92	23
Q8S2W4	Arabidopsis thaliana	Plants	61	22
P83313	Opistophthalmus carinatus	Metazoa	82	22
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
Q969H8	Homo sapiens	Metazoa	173	31
P80961	Myoxocephalus octodecemspinosus	Metazoa	128	20
P04844	Homo sapiens	Metazoa	631	22
Q61400	Mus musculus	Metazoa	265	33
Q9BX59	Homo sapiens	Metazoa	468	18
Q76FB0	Cyanidium caldarium	Other	155	20
P29421	Oryza sativa subsp. japonica	Plants	200	22
Q589G4	Anoplius samariensis	Metazoa	75	17
P16235	Rattus norvegicus	Metazoa	700	26
Q805F3	Xenopus laevis	Metazoa	397	16
P98066	Homo sapiens	Metazoa	277	17
P35053	Rattus norvegicus	Metazoa	558	23
Q9P246	Homo sapiens	Metazoa	746	14
P55899	Homo sapiens	Metazoa	365	23
P09586	Mus musculus	Metazoa	222	31
Q9ZT66	Zea mays	Plants	303	43
Q08334	Homo sapiens	Metazoa	325	19
P0DUS6	Doratifera vulnerans	Metazoa	60	24
A0A1S6EK92	Moringa oleifera	Plants	79	20
P17697	Bos taurus	Metazoa	439	19
P15289	Homo sapiens	Metazoa	507	18
P07507	Bos taurus	Metazoa	103	19
Q8I817	Aplysia californica	Metazoa	88	19
Q8ISL8	Apis mellifera	Metazoa	78	24
Q9HB40	Homo sapiens	Metazoa	452	26
Q18184	Caenorhabditis elegans	Metazoa	89	23
Q5ZPR3	Homo sapiens	Metazoa	534	28
P55083	Homo sapiens	Metazoa	255	21
P01500	Apis mellifera	Metazoa	46	27
Q9NR16	Homo sapiens	Metazoa	1453	40
P17948	Homo sapiens	Metazoa	1338	26
O95813	Homo sapiens	Metazoa	267	17
Q5D710	Scylla serrata	Metazoa	126	24
P45478	Bos taurus	Metazoa	306	27
Q9XSW3	Sus scrofa	Metazoa	240	18
P69241	Raphanus sativus	Plants	80	29
P22301	Homo sapiens	Metazoa	178	18
P01364	Aplysia californica	Metazoa	108	23
P21956	Mus musculus	Metazoa	463	22
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18
P18428	Homo sapiens	Metazoa	481	25
P54660	Dictyostelium discoideum	Other	143	22
P28798	Mus musculus	Metazoa	589	17
P69770	Conus marmoreus	Metazoa	94	25
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22
H6U1I8	Tanacetum cinerariifolium	Plants	365	27
P02790	Homo sapiens	Metazoa	462	23
P06332	Mus musculus	Metazoa	457	26
P08603	Homo sapiens	Metazoa	1231	18
Q9MYV1	Canis lupus familiaris	Metazoa	128	25
L8BRS3	Morus alba	Plants	209	18
P30986	Eschscholzia californica	Plants	538	23
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19
P19876	Homo sapiens	Metazoa	107	34
A1X159	Perna viridis	Metazoa	431	20
Q4W1I9	Zinnia elegans	Plants	321	30
Q13145	Homo sapiens	Metazoa	260	20
P10562	Canavalia gladiata	Plants	445	26
P14925	Rattus norvegicus	Metazoa	976	25
Q10ST8	Oryza sativa subsp. japonica	Plants	96	27
P09486	Homo sapiens	Metazoa	303	17
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22
P02702	Bos taurus	Metazoa	241	19
Q99969	Homo sapiens	Metazoa	163	20
P11911	Mus musculus	Metazoa	220	28
P11590	Mus musculus	Metazoa	178	16
P58154	Lymnaea stagnalis	Metazoa	229	19
Q8N6C8	Homo sapiens	Metazoa	439	23
Q9NPA0	Homo sapiens	Metazoa	242	23
Q16552	Homo sapiens	Metazoa	155	23
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	20
Q64HC7	Armadillidium vulgare	Metazoa	73	19
P0CS93	Gibberella zeae	Fungi	680	24
P22864	Aspergillus niger	Fungi	373	19
P02462	Homo sapiens	Metazoa	1669	27
Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26
Q7Z0T3	Aplysia californica	Metazoa	125	22
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20
O59896	Pycnoporus cinnabarinus	Fungi	518	21
P31420	Manduca sexta	Metazoa	274	18
Q7ZZN8	Naja atra	Metazoa	238	19
P01038	Gallus gallus	Metazoa	139	23
Q9P0V8	Homo sapiens	Metazoa	285	22
P17813	Homo sapiens	Metazoa	658	25
P08505	Mus musculus	Metazoa	211	24
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17
P51654	Homo sapiens	Metazoa	580	24
P21814	Ovis aries	Metazoa	429	25
P34115	Dictyostelium discoideum	Other	730	20
Q9C9H5	Arabidopsis thaliana	Plants	484	21
P02649	Homo sapiens	Metazoa	317	18
Q8MI35	Sus scrofa	Metazoa	152	32
O95715	Homo sapiens	Metazoa	111	34
P02701	Gallus gallus	Metazoa	152	24
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17
P28906	Homo sapiens	Metazoa	385	31
P09470	Mus musculus	Metazoa	1312	34
P0DQC1	Scolopendra dehaani	Metazoa	92	20
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23
P55955	Caenorhabditis elegans	Metazoa	132	19
Q02942	Blaberus discoidalis	Metazoa	726	16
Q86YD3	Homo sapiens	Metazoa	366	26
O62644	Bos taurus	Metazoa	151	18
Q13478	Homo sapiens	Metazoa	541	18
Q09117	Populus deltoides	Plants	312	24
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21
P12024	Drosophila melanogaster	Metazoa	1315	29
P20013	Trametes versicolor	Fungi	372	26
Q27085	Tachypleus tridentatus	Metazoa	418	24
Q8T1G4	Dictyostelium discoideum	Other	181	19
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24
Q8N766	Homo sapiens	Metazoa	993	22
P33681	Homo sapiens	Metazoa	288	34
Q9UKY0	Homo sapiens	Metazoa	176	25
Q76CA2	Monoplex parthenopeus	Metazoa	275	23
