Accession	Organism	Kingdom	Length	Cleavage_site
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23
P17948	Homo sapiens	Metazoa	1338	26
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18
P48816	Bombyx mori	Metazoa	137	18
Q589G4	Anoplius samariensis	Metazoa	75	17
Q9VH14	Drosophila melanogaster	Metazoa	210	27
Q94733	Rhodnius prolixus	Metazoa	202	23
Q9Y5U5	Homo sapiens	Metazoa	241	25
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24
Q6T6C1	Theromyzon tessulatum	Metazoa	107	21
P31420	Manduca sexta	Metazoa	274	18
Q6UXD5	Homo sapiens	Metazoa	910	27
O76192	Galleria mellonella	Metazoa	167	17
Q0ZS87	Phlebotomus perniciosus	Metazoa	393	18
Q99MA2	Rattus norvegicus	Metazoa	674	22
Q70SU7	Salvelinus alpinus	Metazoa	342	19
Q9NPG1	Homo sapiens	Metazoa	666	22
Q8WP90	Solenopsis invicta	Metazoa	153	19
P12024	Drosophila melanogaster	Metazoa	1315	29
P11150	Homo sapiens	Metazoa	499	22
P36897	Homo sapiens	Metazoa	503	33
Q86R84	Dermatophagoides farinae	Metazoa	462	25
Q99ML8	Mus musculus	Metazoa	113	23
P24807	Mus musculus	Metazoa	76	26
O64411	Zea mays	Plants	500	28
P20774	Homo sapiens	Metazoa	298	20
Q9BX59	Homo sapiens	Metazoa	468	18
P13385	Homo sapiens	Metazoa	188	30
Q4W1I9	Zinnia elegans	Plants	321	30
A9UGV6	Oryza sativa subsp. japonica	Plants	61	26
Q42502	Solanum tuberosum	Plants	386	23
P01165	Sus scrofa	Metazoa	207	22
P12729	Dictyostelium discoideum	Other	168	19
P69770	Conus marmoreus	Metazoa	94	25
K9L4P7	Penicillium chrysogenum	Fungi	604	18
O95715	Homo sapiens	Metazoa	111	34
P19034	Bos taurus	Metazoa	101	22
Q9NPA0	Homo sapiens	Metazoa	242	23
Q08334	Homo sapiens	Metazoa	325	19
Q6X4U4	Homo sapiens	Metazoa	206	23
C4NZN9	Hyas araneus	Metazoa	131	16
Q9R100	Mus musculus	Metazoa	827	25
Q6ASY2	Oryza sativa subsp. japonica	Plants	178	26
Q63415	Rattus norvegicus	Metazoa	937	45
Q40975	Papaver rhoeas	Plants	139	19
P08796	Dictyostelium discoideum	Other	514	19
P0DUS5	Doratifera vulnerans	Metazoa	57	24
P20462	Notamacropus eugenii	Metazoa	176	18
Q8JFQ0	Bombina maxima	Metazoa	96	19
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18
P42256	Aspergillus niger	Fungi	321	19
Q7TQN3	Mus musculus	Metazoa	571	29
P69241	Raphanus sativus	Plants	80	29
P10820	Mus musculus	Metazoa	554	20
B8JLQ9	Danio rerio	Metazoa	363	24
P30659	Lutzomyia longipalpis	Metazoa	86	23
Q9NR16	Homo sapiens	Metazoa	1453	40
P09486	Homo sapiens	Metazoa	303	17
P05790	Bombyx mori	Metazoa	5263	21
Q8MVA6	Ixodes scapularis	Metazoa	69	23
P10562	Canavalia gladiata	Plants	445	26
P14384	Homo sapiens	Metazoa	443	17
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15
P83313	Opistophthalmus carinatus	Metazoa	82	22
Q95P90	Olivierus martensii	Metazoa	94	22
Q6IV20	Gallus gallus	Metazoa	104	22
P82384	Drosophila melanogaster	Metazoa	92	16
P0C8G6	Pomacea canaliculata	Metazoa	565	26
Q00954	Rattus norvegicus	Metazoa	218	18
P01038	Gallus gallus	Metazoa	139	23
O76076	Homo sapiens	Metazoa	250	23
Q8L5J1	Solanum lycopersicum	Plants	399	26
P49767	Homo sapiens	Metazoa	419	31
P79263	Sus scrofa	Metazoa	921	27
P29421	Oryza sativa subsp. japonica	Plants	200	22
F1RRV3	Sus scrofa	Metazoa	2692	19
E0XKJ8	Tabanus yao	Metazoa	256	16
Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46
Q9NZ53	Homo sapiens	Metazoa	605	32
P62520	Chilobrachys guangxiensis	Metazoa	63	27
Q92643	Homo sapiens	Metazoa	395	27
Q28173	Bos taurus	Metazoa	416	22
P07141	Mus musculus	Metazoa	552	32
Q27085	Tachypleus tridentatus	Metazoa	418	24
P23044	Robillarda sp. (strain Y-20)	Fungi	385	17
F1AWB0	Vaejovis mexicanus	Metazoa	82	22
