Accession	Organism	Kingdom	Length	Cleavage_site
O08795	Mus musculus	Metazoa	521	14
P02701	Gallus gallus	Metazoa	152	24
O18994	Sus scrofa	Metazoa	219	21
Q9GZX6	Homo sapiens	Metazoa	179	33
P54660	Dictyostelium discoideum	Other	143	22
P29794	Canis lupus familiaris	Metazoa	180	20
Q86IV5	Dictyostelium discoideum	Other	258	21
P01297	Sus scrofa	Metazoa	121	24
Q62632	Rattus norvegicus	Metazoa	306	18
P51460	Homo sapiens	Metazoa	131	20
P01189	Homo sapiens	Metazoa	267	26
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19
P10124	Homo sapiens	Metazoa	158	27
P24817	Momordica charantia	Plants	286	23
O62680	Sus scrofa	Metazoa	123	25
Q16552	Homo sapiens	Metazoa	155	23
P02652	Homo sapiens	Metazoa	100	18
Q27441	Aplysia californica	Metazoa	92	21
Q23997	Drosophila melanogaster	Metazoa	452	18
Q06KA2	Phlebotomus duboscqi	Metazoa	249	19
Q9NZV1	Homo sapiens	Metazoa	1036	34
Q95NJ8	Olivierus martensii	Metazoa	55	23
P52823	Homo sapiens	Metazoa	247	17
P30440	Felis catus	Metazoa	109	17
P82143	Gloydius brevicaudus siniticus	Metazoa	200	19
P11590	Mus musculus	Metazoa	178	16
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20
P42292	Gallus gallus	Metazoa	588	33
Q868Z9	Drosophila melanogaster	Metazoa	2898	26
Q55GS3	Dictyostelium discoideum	Other	607	19
Q15762	Homo sapiens	Metazoa	336	18
Q7KRU8	Drosophila melanogaster	Metazoa	205	19
P25116	Homo sapiens	Metazoa	425	21
P01068	Ananas comosus	Plants	246	19
P81941	Pseudopleuronectes americanus	Metazoa	68	22
P15309	Homo sapiens	Metazoa	386	32
P80356	Avena sativa	Plants	220	19
P11654	Rattus norvegicus	Metazoa	1886	25
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51
Q03383	Bombyx mori	Metazoa	400	16
Q9ZT66	Zea mays	Plants	303	43
Q6UX39	Homo sapiens	Metazoa	209	16
P80748	Homo sapiens	Metazoa	117	17
G3MYZ3	Bos taurus	Metazoa	604	21
B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18
Q63617	Rattus norvegicus	Metazoa	999	32
P42264	Rattus norvegicus	Metazoa	919	31
P35495	Sus scrofa	Metazoa	133	24
C0HLA0	Chamaecyparis obtusa	Plants	556	28
Q3C258	Actinia equina	Metazoa	70	20
Q08738	Bombyx mori	Metazoa	239	16
P86407	Mesobuthus eupeus	Metazoa	75	22
Q9Y5Q6	Homo sapiens	Metazoa	135	22
Q02747	Homo sapiens	Metazoa	115	21
A0A0F7YZQ7	Conus victoriae	Metazoa	100	24
O95813	Homo sapiens	Metazoa	267	17
P0DQP8	Cerrophidion godmani	Metazoa	166	19
Q4V4I9	Drosophila melanogaster	Metazoa	182	22
Q6UXK5	Homo sapiens	Metazoa	716	25
P04639	Rattus norvegicus	Metazoa	259	18
P20062	Homo sapiens	Metazoa	427	18
P21814	Ovis aries	Metazoa	429	25
P83508	Cavia porcellus	Metazoa	170	16
Q9NR61	Homo sapiens	Metazoa	685	26
Q76FB0	Cyanidium caldarium	Other	155	20
Q01129	Rattus norvegicus	Metazoa	354	16
P59665	Homo sapiens	Metazoa	94	19
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18
P02649	Homo sapiens	Metazoa	317	18
Q8N441	Homo sapiens	Metazoa	504	24
P29241	Aplysia californica	Metazoa	282	24
P04217	Homo sapiens	Metazoa	495	21
Q13445	Homo sapiens	Metazoa	227	23
A7L035	Chironex fleckeri	Metazoa	456	20
P06332	Mus musculus	Metazoa	457	26
Q99969	Homo sapiens	Metazoa	163	20
P86009	Dromaius novaehollandiae	Metazoa	238	17
Q3L1D1	Agaricus bisporus	Fungi	594	25
P13917	Glycine max	Plants	427	24
Q76CA2	Monoplex parthenopeus	Metazoa	275	23
Q9BZW8	Homo sapiens	Metazoa	370	21
Q9BXJ3	Homo sapiens	Metazoa	329	16
Q8I7X1	Porcellio scaber	Metazoa	145	21
Q96S96	Homo sapiens	Metazoa	227	22
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17
P01888	Bos taurus	Metazoa	118	20
Q8T4J9	Manduca sexta	Metazoa	180	15
Q76FP5	Hypocrea rufa	Fungi	479	20
Q9H9K5	Homo sapiens	Metazoa	563	26
P09586	Mus musculus	Metazoa	222	31
P98066	Homo sapiens	Metazoa	277	17
A0A2I6QB00	Trametes coccinea (strain BRFM310)	Fungi	418	18
P01538	Viscum album	Plants	111	26
O11780	Sus scrofa	Metazoa	683	23
